Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R170-sim_liq_density-wt,R170-sim_vap_density-wt,R170-sim_Pvap-wt,R170-sim_Hvap-wt,Run Time,jac evals,Termination
15,1559,1.4767467075512482,3.664534911992891,3.1377028741729625,2.5202680167473095,3.977232308824897,3.159490438491593,2.7602823452471004,74.80912008157492,58.44673800892265,2.0738144377502024,24.27218451819833,17.321720407719074,27.95294692699372,1.4767467071152207,3.664534911992891,3.1377028741729625,2.5202681167473093,3.977232308824897,3.159490438491593,2.7602823452471004,74.80912008157492,58.44673800892265,2.0738144377502024,24.27218451819833,17.321719204995457,27.95294692699372,12.753336551648397,14.124163247193835,4.390846603221707,108.4419718509886,0.006135073155879712,0.007285711679564982,0.18109160550162445,0.00548760966293087,140.65894746780396,120,0
5,1128,1.476746787447966,3.664523097094059,2.2600571442365553,2.520289599026195,3.3576710658797815,2.4232562320001176,2.5310933187444524,74.81070066207587,13.468565432610227,2.073685031507921,20.135500121703355,35.62569379161495,39.4915426007326,1.476746779632511,3.664523097094059,2.2600571442365553,2.5202896990261947,3.3576710658797815,2.4232562320001176,2.5310933187444524,74.81070066207587,13.468565432610227,2.073683828784302,20.135500121703355,35.62569379161495,39.4915426007326,12.750008608239876,14.126063320055101,4.390723486712543,108.46134993834245,0.006135191012494029,0.007285473193826503,0.18109204486976033,0.005487290923919147,89.66567158699036,89,0
2,1559,1.476746848651306,3.6645153202015117,3.7562348727818904,2.5203085490803847,3.3409350203568042,2.834609604734254,3.117379656891503,74.809246463276,22.876596790517127,2.0739611089560572,48.889155150178915,25.96984743829712,39.23129154842599,1.4767467822957077,3.664519652779026,3.7562348727818904,2.5202981502857433,3.3409350203568042,2.834609604734254,3.117379656891503,74.80817455832462,22.876596790517127,2.0740836818132586,48.889155150178915,25.969846235573502,39.23129154842599,12.767495038129685,14.123163389908738,4.39166503705737,108.39944228949624,0.006134881732906446,0.00728588957978294,0.1810924137904574,0.005486814896853196,129.02897953987122,128,0
16,1475,1.4767472206885834,3.6645759671156997,2.420348019829679,2.5201492431183157,2.13307296270823,2.5206302971570818,3.6095091274866906,74.79737835927249,51.56495725719611,2.0751773652475705,47.36827896397728,24.215386967048882,17.308638173940835,1.4767468352450361,3.664503726482535,2.420348019829679,2.5202897022465813,2.13307296270823,2.5206301971570815,3.6095091274866906,74.80649582719676,51.56495725719611,2.0744414934280684,47.36827896397728,24.215386967048882,17.308638173940835,12.736478832877511,14.099972360995448,4.391192729868208,108.41596731233835,0.006134200382325026,0.007286285225897133,0.18108963861032942,0.005489875781448402,140.1727602481842,120,0
1,1249,1.4767470320821274,3.664503329791902,3.440648986884316,2.5203070779238685,2.604665145263679,2.293511781634226,2.1846771895375956,74.8117388361076,32.46144725779811,2.0736412763815895,33.85858569011749,29.67180800411532,38.98268251388659,1.4767470216080953,3.6645033424857103,3.440648986884316,2.520307019681204,2.604665145263679,2.293511781634226,2.1846771895375956,74.81173188298936,32.46144725779811,2.073643357684358,33.85858569011749,29.67180800411532,38.98268251388659,12.736495068295525,14.120966203890704,4.394000896933065,108.36684312324401,0.006135271522757838,0.007285229729584781,0.18109241880863086,0.005487079939026525,98.80084252357483,98,0
7,1778,1.4767474478442233,3.6644985454051895,3.614782577419047,2.5203499849412743,2.330708394233865,3.8550171607920674,2.695531719491013,74.81747385276171,57.18986904777936,2.0728908848633787,36.828527246946315,41.2829851909568,27.21144196922449,1.4767474468510395,3.6644985454051895,3.614782577419047,2.520350084941274,2.330708394233865,3.8550171607920674,2.695531719491013,74.81747385276171,57.18986904777936,2.0728896821397598,36.828527246946315,41.2829851909568,27.21144196922449,12.749153615846723,14.13793995752211,4.391134845054711,108.46970186693287,0.006135761753649638,0.0072849650316770065,0.18109305656706184,0.00548621664761155,160.6065080165863,137,0
3,1070,1.4767474759772696,3.664547964879821,3.7892133270076944,2.520212346865436,2.0781095664657645,2.3396608391291376,3.756285006858826,74.8074839468759,37.3719956253284,2.073862476255016,33.660784974055595,39.21569898826657,26.043047085212205,1.4767474644214575,3.6645479656088744,3.7892133270076944,2.5202122424147726,2.0781095664657645,2.3396608391291376,3.756285006858826,74.80748324721912,37.3719956253284,2.073863772943698,33.660784974055595,39.21569898826657,26.043047085212205,12.724892728646118,14.11445178748792,4.394549427909142,108.33101055518948,0.006135161341521745,0.007285580300472426,0.18109053610934767,0.005488722248658172,84.5210509300232,84,0
10,1130,1.4767478345642306,3.6645989751107786,3.994645700902961,2.5201050156929306,2.2742714992577553,3.8651909260743267,3.3936363229798,74.79015567647602,59.10509841916033,2.076051147749659,47.30585874412692,39.903367754720136,19.349483669025766,1.4767478345010914,3.664598430570653,3.994645700902961,2.5201057545049332,2.2742714992577553,3.8651909260743267,3.3936363229798,74.79013283398669,59.10509841916033,2.076059031433213,47.30585874412692,39.90336655199651,19.349483669025766,12.758541284018364,14.088967628566236,4.391453787790688,108.34791990314274,0.006133445508716264,0.007287250235069055,0.1810888516868993,0.005490452569315366,101.64782643318176,87,0
18,1411,1.4767484012455219,3.664612195607686,2.9719813341938197,2.520067449417549,3.099095843017125,3.8523628534129073,3.837466971267212,74.78743822274214,72.61206434864629,2.0763213285224573,19.421533180387307,19.727770531635596,32.69817579869139,1.4767484005697216,3.664612195607686,2.9719813341938197,2.520067549417549,3.099095843017125,3.8523628534129073,3.837466871267212,74.78743822274214,72.61206434864629,2.0763213285224573,19.421533180387307,19.727770531635596,32.69817579869139,12.75070826658343,14.082669029422695,4.39214478399525,108.32174263046687,0.006133292324643176,0.007287372188970965,0.18108817688800183,0.005491158598384031,127.7076165676117,109,0
8,1304,1.6040404101842736,3.8469048297696995,3.7917724363921335,2.1445105168378884,3.9296800942967707,3.326882995636896,3.2433914404182436,47.80603809252787,71.71680181595964,8.197909217352827,35.24363650354962,29.284788096644842,23.29594430850597,1.6040404083224276,3.8469048297696995,3.7917724363921335,2.1445104168378886,3.9296800942967707,3.326882995636896,3.2433914404182436,47.80603809252787,71.71680181595964,8.197909217352827,35.24363650354962,29.284788096644842,23.29594430850597,32.2780330526971,21.901184460087094,3.1163567156758667,152.6663527870575,0.005824015244901699,0.007463781208965779,0.18211174950575337,0.004600454040379119,118.74608516693115,101,0
