Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
2,66,324.87407436864794,2.0547751863958523,3.3409350203568042,3.593325205450402,2.356884373886077,3.3263423586555616,2.3962029781697574,2.8362913473282987,72.93700242176087,30.372571580350794,49.75958588444181,4.7246491780492,22.264688877264582,17.97654739794223,26.253306755737714,324.87407020904664,2.0547751863958523,3.3409350203568042,3.5933289221124043,2.356868612344935,3.3263438548304434,2.3962029781697574,2.8362938627193923,72.93700242176087,30.372571580350794,49.75928977952593,4.724626170928223,22.264839186029196,17.97654739794223,26.253284353626157,0.12465340177058207,19.35797055646264,23.1503295331056,1.807987361871826,95.30418586730957,74.0,1110.0,168.2104627409184,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,74,218.64798524028484,2.5398557835300517,3.7917724363921335,3.230252843278001,2.606030241615465,2.9029014159065176,3.2433914404182436,2.987727750206935,71.71680181595964,39.24428867619614,61.33596344533406,7.939583034786904,22.89285437843686,46.61828321967889,34.57458283360191,218.64798502393148,2.5398557835300517,3.7917724363921335,3.2302534580594577,2.6060297974349096,2.9029046086716743,3.2433914404182436,2.9877277169862952,71.71680181595964,39.24428867619614,61.33592542839123,7.939570086221066,22.892921024362256,46.61828321967889,34.57457301155461,0.06882620688224103,3.580248746749376,4.608901511006689,9.575453706956981,100.77002215385437,80.0,1200.0,263.2995470290434,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,77,218.6487793947668,3.8068038305757668,2.274949408292475,3.2304374003671943,2.6052759538036967,2.902720536184446,2.330708394233865,2.9878026606592014,32.604780883457934,58.802786703850124,61.31790282698728,7.944863174810934,22.874037520724613,41.2829851909568,34.57246772898206,218.64877697685756,3.8068038305757668,2.274949408292475,3.2304352583025677,2.6052756652387776,2.902732487667419,2.330708394233865,2.987799616274058,32.604780883457934,58.802786703850124,61.31788035497768,7.944904825332336,22.87408813100189,41.2829851909568,34.57253574313645,0.06531074095159509,3.6767270969385364,4.561539532550185,9.56069960406571,115.72483825683594,88.0,1320.0,268.524025224265,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,92,218.64723390805455,2.56088798412881,3.578558656902977,3.230222072417427,2.605646841336398,2.902871398579436,2.5872282967473588,2.9879591835021007,18.45185718768805,11.258852261569311,61.330559517853466,7.942517823213207,22.88231557998886,32.20506057481184,34.57776501295513,218.64722668219702,2.56088798412881,3.578558656902977,3.2302235989114063,2.605659147241167,2.9028947972104002,2.5872282967473588,2.98795086640589,18.45185718768805,11.258852261569311,61.330826859774696,7.942492747319116,22.882539457656563,32.20506057481184,34.577738913622525,0.07057705108788384,3.5937440875331426,4.577246178805952,9.581851740696104,127.90597915649414,100.0,1500.0,65.2548183675282,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,54,345.89750903924113,2.7897512258471098,3.926525056881424,3.3401940480590273,2.3981643373299306,2.784284497812351,3.011324331353793,3.049333563620031,71.61806372914928,63.762505626097635,46.97394279783718,5.030364244182268,30.950987877799218,19.584889568382092,36.234521613965626,345.8974993894393,2.7897512258471098,3.926525056881424,3.340195544136057,2.3981816294456264,2.784294064707811,3.011324331353793,3.049329914024708,71.61806372914928,63.762505626097635,46.97412340461847,5.030348348985623,30.951027020063933,19.584889568382092,36.234501432267855,0.06171499997415026,2.1217937512164795,7.294192362879619,25.40362179333089,77.27221655845642,62.0,930.0,362.6945199396039,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,93,218.64770187778115,2.0057406540623175,3.2342898272414478,3.230403520949046,2.6054858660946967,2.9020957133910814,2.7145395200049993,2.9879550999036635,50.518407526467186,11.02838078502616,61.32432956688399,7.941635663419221,22.868010431698725,21.0319177920865,34.573848989935584,218.6476885173661,2.0057406540623175,3.2342898272414478,3.2304025525807485,2.6054762040106425,2.9020907022632834,2.7145395200049993,2.987956287756741,50.518407526467186,11.02838078502616,61.32430321814686,7.941633778998118,22.86814692398631,21.0319177920865,34.57386103208591,0.06535116984422287,3.645158565927069,4.592377825068476,9.555095893849543,131.3650712966919,100.0,1500.0,26.011830535571544,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,114,345.6322573706792,3.1482352109840264,2.29345714981162,3.3267825174558086,2.4193469231861493,2.7496251182512794,2.8281119756391364,3.051967268276325,36.92165251924868,13.246974831495667,48.05486557989835,5.147037641268114,30.98482331062102,48.06081645967847,35.99776277516945,345.63224523852,3.1482352109840264,2.29345714981162,3.326786037648554,2.4193368097214347,2.7496210129891727,2.8281119756391364,3.051979297025567,36.92165251924868,13.246974831495667,48.05497647295147,5.147068570344004,30.984550009135784,48.06081645967847,35.997657558968484,0.15910404582296522,2.6948830479723043,6.899347168533634,24.42088274101817,154.26375555992126,122.0,1830.0,64.81513455901946,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,110,345.65829320167546,2.834044009405148,3.440648986884316,3.324547228335015,2.422288603229556,2.7470438298606448,2.1846771895375956,3.051907013579699,32.46144725779811,35.789885824993554,48.250436817321415,5.1749909109152314,30.974539119025284,22.155828740603113,35.95208689309406,345.65828139344285,2.834044009405148,3.440648986884316,3.3245536116972545,2.42229387589961,2.747049617042667,2.1846771895375956,3.0519046890411317,32.46144725779811,35.789885824993554,48.250466576099434,5.174939608687842,30.974540746032694,22.155828740603113,35.95211016152331,0.1724910381357716,2.8166598806410716,6.918356037277047,24.221277809311186,161.46730136871338,125.0,1875.0,23.472919442223997,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,118,218.64637537392196,2.3396608391291376,3.756285006858826,3.2303096224121597,2.6054764562837023,2.9031120941480166,3.066330569946034,2.987810268449639,30.508516015394097,54.622560299302954,61.33027535914378,7.940933072450556,22.88952243248232,49.61013811172732,34.57192273952013,218.64637448581243,2.3396608391291376,3.756285006858826,3.230309393113023,2.6054760665291283,2.903111248144505,3.066330569946034,2.9878102087265166,30.508516015394097,54.622560299302954,61.33028954863652,7.940908393761993,22.889513305411175,49.61013811172732,34.57195013798953,0.0679012326018558,3.6096997343397,4.574998773981125,9.582576099491916,157.3987159729004,125.0,1875.0,48.541433519850784,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,68,345.64600467520046,3.1056439573715315,3.684061784719211,3.3286934995015427,2.4186822238962726,2.754608940800928,3.939191496639349,3.0503890902645683,11.212073809241298,62.04112372424007,47.975143589869106,5.1210054147072945,31.016281064631958,45.22396490958001,35.99203824479596,345.6459900698489,3.1056439573715315,3.684061784719211,3.3286990771907736,2.4186708415998224,2.754622434289899,3.939191496639349,3.050388544807521,11.212073809241298,62.04112372424007,47.974677681344,5.120955234777831,31.016248463704184,45.22396490958001,35.992123032292625,0.1642774281449464,2.767981224625022,6.931090431513123,24.34325920836718,100.35162734985352,76.0,1140.0,305.10929922728485,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
