,molecule,temperature,restart,liq_density,vap_density,Hvap,Pvap,liq_enthalpy,vap_enthalpy
0,R116,190,1,1709.9498499,5.9918537854333325,18.64498370390034,0.66192392024,70927.53584855556,17344.72580566667
1,R116,210,1,1629.8171602555556,10.705043801822221,17.571422304523153,1.28835320729,77053.5552797778,11936.117430544444
2,R116,230,1,1541.651401211111,20.802193126111113,16.364333334979538,2.659455234888889,79953.89539077778,10438.637246100001
3,R116,250,1,1450.6287444666666,41.62642539177778,14.945913891085436,5.475563757422222,81656.64293588887,10220.451982022221
4,R116,270,1,1345.2980841444446,78.21339149777778,13.201346057392762,10.180578270364444,83966.84831677779,9485.887923299999
5,R125,229,1,1526.1763836555556,7.632638589433333,20.116425909379647,1.160174240231111,41947.36621666666,12594.60777188889
6,R125,249,1,1448.6610211666666,17.314805975666665,18.680858122791786,2.7637709391333334,43368.554160666674,12736.738117322224
7,R125,269,1,1365.7725815888887,35.56654169933333,17.04126175235725,5.771304220077778,44660.33188422222,13098.751541744447
8,R125,289,1,1270.3870459444445,64.86720941899999,15.133384825264478,10.477814738844444,46465.235784111115,12864.784740955556
9,R125,309,1,1149.9147720555557,113.77838937355554,12.639561900577338,17.585113627513334,48547.02383377778,12513.665221911111
10,R134,240,1,1499.4115503111113,2.3642978126888883,27.9220545202325,0.45042569383000003,26829.183421222224,6517.903929866667
11,R134,260,1,1442.7445255555554,4.285928717233333,26.577395243678527,0.8763275276444443,29389.234572555557,5156.974211299999
12,R134,280,1,1381.8781885111111,8.297615859644443,25.079832442543662,1.7969055371033336,31288.45998633333,4918.794022744444
13,R134,300,1,1316.7698412111113,17.053521258333333,23.41980389711619,3.805775873544445,32760.323756555557,5423.732141044445
14,R134,320,1,1246.6248616555554,32.311056662666665,21.404723850744773,7.201180133211111,34365.55181622222,5751.864148844444
15,R134a,240,1,1436.6391030333332,3.852798211088889,23.12938311653377,0.7306608134444444,-1421.2502025530723,3359.4552626
16,R134a,260,1,1372.685645511111,9.494602820355555,21.70978424342156,1.8892517712666668,-60.164734594470005,3685.706534266667
17,R134a,280,1,1301.7364074777777,17.417538823333334,20.22322857609369,3.615180553311111,1417.5018538454833,3419.109702522222
18,R134a,300,1,1229.8809245333334,37.75853941211111,18.319987151440117,7.743455759611112,2748.256407461111,4035.074300777778
19,R134a,320,1,1145.229608633333,64.30174297444445,16.225641340650753,12.962544305811111,4206.591602999999,3892.8688143888885
20,R14,130,1,1711.056819011111,2.3272860749555555,12.817592194135978,0.2818270991122222,-4025.7137154999996,984.8624291222221
21,R14,150,1,1606.068584,9.841676510255557,11.84853551199215,1.3346026123633334,-3081.780136344445,1071.6514900033333
22,R14,170,1,1490.8822681111112,29.202763446444447,10.72747595963477,4.215361179233333,-2153.2158697633336,1128.4411812422222
23,R14,190,1,1359.8281639777779,68.38798090755556,9.301227924705069,10.024028280844446,-1139.6783834314888,1104.4153501844444
24,R14,210,1,1188.229811211111,142.57509438600002,7.370408693598741,20.008336009205554,-17.510533514514442,944.4436754055555
25,R143,317,1,1174.8874461222222,12.47660219301111,26.04562494145448,3.595300994633333,2855.3176097852224,3781.7874871000004
26,R143,337,1,1115.7344032666667,23.466171531666667,24.001800635160674,6.830923406222222,4480.1642304,4219.227160777778
27,R143,357,1,1050.4853122033333,39.518452899777785,21.787444365998194,11.45393511272222,6187.720574588889,4372.039055744444
28,R143,377,1,974.3303462422223,67.8753687332222,18.989215531458903,18.84239774880667,7806.79326248889,4681.299464677778
29,R143,397,1,881.2088014211112,119.45090128355557,15.222782557280064,29.725653558041667,9571.271760322223,5013.644151166667
30,R143a,240,1,1157.126260088889,7.26750093438889,19.789748865914536,1.6256463960555554,-113597.30966111111,-20438.265386
31,R143a,260,1,1097.297741477778,15.369430550666666,18.375858400255517,3.5486227364111116,-111699.78719111111,-20805.29425588889
32,R143a,280,1,1034.7059392255558,28.89926534188889,16.808968505756198,6.805218378455555,-110639.02939111111,-20428.55366066667
33,R143a,300,1,958.8088782133334,50.84980510911112,14.872994142357877,11.828537789577776,-109754.4871611111,-19830.201124555555
34,R143a,320,1,866.8534121255556,90.37611981299999,12.340983315820989,19.819327660101,-108562.22468677777,-19370.488477555555
35,R152,260,1,1198.9641081444445,2.2824615965322224,34.36059513421232,0.6805569432026668,-3809.8836181588886,2016.1956265488884
36,R152,280,1,1161.0000817666667,1.7654541412105555,,0.5628862848347778,-2244.303547798755,800.9586153705555
37,R152,300,1,1124.4083600888887,1.8560875372077776,32.49313472102384,0.6695401409557779,-556.9803352352344,467.2539314155556
38,R152,320,1,1083.7361284666665,3.106600718253334,31.25552648878915,1.2059426299695557,1315.6704364315742,467.2018904586667
39,R152,340,1,1043.4498702888889,6.020739043433333,29.922784545552737,2.4600540429275544,3098.1844689982227,542.2579485911111
40,R152a,260,1,994.5774121877779,5.109917770022222,22.20993437734631,1.5727568251344444,-70139.59858533334,-13673.34432788889
41,R152a,280,1,948.4538942766666,10.921731613422223,20.767802038112627,3.466077896611111,-67823.760367,-14352.531225777779
42,R152a,300,1,894.694288201111,19.82605684011111,19.103639376193698,6.422033415966666,-66740.15526844443,-13957.098722555558
43,R152a,320,1,837.8369537122222,34.970884545777785,17.169220962779512,11.185454729222222,-65101.26277033333,-14034.152298888888
44,R152a,340,1,774.59583619,63.929434787,14.6843590663878,19.050305543606665,-62003.513241555556,-15460.238066055555
45,R161,220,1,828.5369914855555,1.8862786899222221,20.293415395927088,0.6995469049366666,-25959.876628555558,-6274.453544244444
46,R161,240,1,791.7575255477778,5.202963261411112,19.127462795834013,2.0382815349111105,-23645.36662888889,-6751.677147611112
47,R161,260,1,750.6204527733335,11.589577921788887,17.709342241021172,4.674444735722223,-21970.39759022222,-6879.929684411112
48,R161,280,1,706.9864389955555,23.005846701999996,16.09055068061955,9.329545769744444,-20382.85888977778,-6977.533117877778
49,R161,300,1,656.4700394511112,40.275455072111114,14.1560785551331,15.978027613122222,-19191.75219,-6850.496487277777
50,R170,210,1,497.62504301444443,6.735791284366668,14.239198814225794,3.6184552107777783,-1835.5003561320002,1956.1307165555556
51,R170,230,1,465.76293231777777,13.601242205666665,12.979314230064082,7.563664260066666,-547.9223573822188,2080.465517711111
52,R170,250,1,429.1005752355556,26.406847677111113,11.376422424055374,14.569062657411113,788.4489737477816,2277.5307492999996
53,R170,270,1,383.7980874633334,47.83550799244445,9.325983647713567,25.028353562922224,2146.0955145488892,2373.7519078444443
