Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_Hc_min,sigma_H_min,sigma_F_min,epsilon_C1_min,epsilon_C2_min,epsilon_Hc_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_Hc_cum,sigma_H_cum,sigma_F_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_Hc_cum,epsilon_H_cum,epsilon_F_cum,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
7,81,28.915264106442617,3.778364753227386,3.972839457888817,2.3774272944429926,2.711663192421278,2.813140612424,67.60844492353317,66.74449085288452,5.468156326334546,7.1191572119438415,24.66104540064528,28.915263400382607,3.778365084413454,3.972839457888817,2.3774274578468697,2.711663192421278,2.813140612424,67.60844354699888,66.74449085288452,5.468156972211638,7.1191572119438415,24.66104540064528,0.3280077346814767,0.7491461597426643,6.062720166826419,13.895421967724836,77.9226222038269,84.0,924.0,1068.0826746993152,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
22,41,30.107059226699945,3.782278494881856,3.336106165026065,2.4044162062219283,2.998465982131957,3.7650720336677312,63.19296264828927,47.00767656455472,6.151787817302248,8.96315599519173,48.29477908462155,30.10704081991142,3.782280583763131,3.336106165026065,2.404416367619918,2.998465982131957,3.7650720336677312,63.193014918253695,47.00767656455472,6.151770309050474,8.96315599519173,48.29477908462155,1.261401114754996,0.613443463153428,6.54433621558282,15.30198506246133,43.86956238746643,48.0,528.0,355.509252841425,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,46,30.11022121417927,3.782545385125801,2.2743430653156658,2.404780757277068,2.030708134900205,2.7117912040092,63.185794455572506,61.07698173516039,6.151574476773507,5.337268607957193,41.95087843889299,30.110117813681065,3.7825549587224816,2.2743430653156658,2.4047775605063078,2.030708134900205,2.7117912040092,63.186080102911134,61.07698173516039,6.151526954136537,5.337268607957193,41.95087843889299,1.3170400408566405,0.6141618713474595,6.478662393994727,15.275347923459256,65.71280574798584,70.0,770.0,86.58793853805844,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
17,51,30.257995512743253,3.7835243665514624,2.9522282523401424,2.400670932088678,2.330275524646097,3.4420226693107256,62.91734991786696,34.194411419318946,6.216111546463923,8.131977532034515,17.115761717668782,30.25798562408734,3.783517917019528,2.9522282523401424,2.4006694055892366,2.330275524646097,3.4420226693107256,62.91748627466685,34.194411419318946,6.216105192468973,8.131977532034515,17.115761717668782,1.1131271463738133,0.6258389559156922,6.511307021352319,15.587118786086007,54.11482071876526,62.0,682.0,52.03328892441602,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,27,30.871899990505288,3.7846010098988407,3.1476648549077564,2.408860441945352,1.8829191826805127,3.566152943465509,61.771790994910816,10.711798420666655,6.399013308070398,11.533609540728136,19.746223983375145,30.868397595760563,3.786949419890511,3.1476648549077564,2.400167617919233,1.8829191826805127,3.566152943465509,61.71008394347536,10.711798420666655,6.443753896258254,11.533609540728136,19.746223983375145,1.557895645735695,0.575187549191775,6.611858005017341,15.728486602500588,32.10936546325684,35.0,385.0,881.3958156666206,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,68,32.05469698966813,3.795023067093133,2.003007227225358,2.387013055332448,2.192171050048532,3.89811710834502,59.3322067698823,22.852596119450634,6.966472756821262,2.00264637922138,34.79597338546984,32.05469265595106,3.795034937638087,2.003007227225358,2.387015885794581,2.192171050048532,3.89811710834502,59.33212669925355,22.852596119450634,6.966455574846099,2.00264637922138,34.79597338546984,0.8163770546729691,0.4727405962167606,6.169704085589707,17.588360025209212,74.60593342781067,83.0,913.0,80.6648547828404,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,33,32.45305947743341,3.794334251680115,3.04085004449214,2.392773876028831,2.314857213804843,3.835433654218643,58.50647292081095,37.39828008509513,7.112679816369937,3.169825537293104,15.41467507264233,32.453056509168334,3.794336189628397,3.04085004449214,2.392770948364113,2.314857213804843,3.835433654218643,58.506442744380045,37.39828008509513,7.112697443869016,3.169825537293104,15.41467507264233,0.8759331521011575,0.4446555515978515,6.124696750091816,18.06337076374526,34.196516036987305,39.0,429.0,421.9977200182715,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,44,33.416396412152416,3.807861417300287,3.657730230156606,2.3677259834409776,2.5323391574104908,3.465380310862198,56.044144757992704,28.75903584003863,7.76202284622832,11.582531459153286,46.89486643404139,33.41543452880867,3.808134442734845,3.657730230156606,2.3665640881451147,2.5323391574104908,3.465380310862198,56.04472026033792,28.75903584003863,7.769725717880531,11.582531459153286,46.89486643404139,0.4289175353718716,0.2255175851950668,5.84032474384282,18.924308606114508,44.51471018791199,49.0,539.0,802.116178462255,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,80,33.63356098422992,3.812837838239713,3.291760650494328,2.3592069878346225,1.93799195246073,2.824009222548728,55.16886646432129,65.69202120665123,8.007999972845022,9.667521889874058,20.23785250533433,33.63355554517016,3.8128139707188087,3.291760650494328,2.3592243496952743,1.93799195246073,2.824009222548728,55.16859424675617,65.69202120665123,8.00796582748518,9.667521889874058,20.23785250533433,0.3278818644791812,0.1731031313608442,5.620673842388199,19.20528673150177,79.88229370117188,88.0,968.0,60.84221467856474,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,36,33.69202136559287,3.817508796513685,3.691777208441553,2.345594284818488,2.261989344807755,3.055707993362138,55.72330000125442,22.43420218865155,7.953777071608243,12.876849162898765,41.54008928965777,33.69201251831097,3.817509394803511,3.691777208441553,2.3455943078875325,2.261989344807755,3.055707993362138,55.7230246378854,22.43420218865155,7.953841609917168,12.876849162898765,41.54008928965777,0.297036846420295,0.2259887565543832,6.101331514310722,18.292710436337725,40.39584493637085,43.0,473.0,3413.188145759524,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,30,33.724225803203026,3.8150119171100014,3.384560862381212,2.355239307623935,2.278014490599594,2.90886879342467,54.68681790756782,38.96710909898133,8.141700664667953,12.952864525926326,31.80146527176185,33.72417694273656,3.815019289862491,3.384560862381212,2.355223464336234,2.278014490599594,2.90886879342467,54.68699710092064,38.96710909898133,8.141752387680873,12.952864525926326,31.80146527176185,0.2754088606051356,0.1548138211729545,5.712402916719936,19.199116453829166,34.17676377296448,37.0,407.0,220.21866454318,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,40,33.80370845388178,3.818707577829663,3.631030770023851,2.3472782432615023,2.731627972289125,2.832524704329144,54.21185205500149,22.066704533772164,8.300958814612812,8.04509790801361,46.852855575871246,33.80370625517232,3.81879055443963,3.631030770023851,2.347231380752532,2.731627972289125,2.832524704329144,54.212367454897446,22.066704533772164,8.30117354014681,8.04509790801361,46.852855575871246,0.1999701075555023,0.1554584385843204,5.72629623801839,19.21856704594441,64.85101008415222,72.0,792.0,79.77049471533884,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,139,33.86754274974294,3.818872482921406,2.8617474779599577,2.348535899352833,1.685199152470693,2.288803538364342,53.89151844446079,69.60000982966082,8.368567139004508,11.53670105080667,16.881326594423154,33.86752664770572,3.8188562338677343,2.8617474779599577,2.3485362756717048,1.685199152470693,2.288803538364342,53.891573565174646,69.60000982966082,8.368553556287802,11.53670105080667,16.881326594423154,0.2096905722527499,0.1568288122344424,5.821442210653991,19.158170781578,151.62321066856384,168.0,1848.0,44.181117328359534,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,43,34.07201892594373,3.8206762074456457,3.2877592139036897,2.345594880969007,2.783324352736593,3.097582640967928,53.20783813524114,71.85169135574942,8.549971720912707,5.169903249188826,34.78301452784968,34.072006373265346,3.820678045501951,3.2877592139036897,2.3455859897902416,2.783324352736593,3.097582640967928,53.20790100343175,71.85169135574942,8.550010230159712,5.169903249188826,34.78301452784968,0.1630655970243668,0.198580167961935,6.107438914223372,19.06749772051569,53.82127380371094,59.0,649.0,57.81842884281864,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,59,34.0875583567377,3.811138657330343,2.544434662135555,2.369474976597364,1.529461885858732,3.791337887228809,53.60137943640331,47.21555761363452,8.312584727355002,5.945028135767544,28.195936197570493,34.087554835238606,3.8111405737786734,2.544434662135555,2.369471204884509,1.529461885858732,3.791337887228809,53.60124242575471,47.21555761363452,8.312640128172692,5.945028135767544,28.195936197570493,0.3739566494173338,0.1437869688238554,5.994309231638463,19.309699223008423,59.51971983909607,68.0,748.0,96.57724487077004,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
