Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
19,46,185.8432676852406,2.6004966790678,2.2860116565161985,3.8026168726985476,3.150969877512002,3.949480741710164,3.367476877860528,2.5542161328174435,2.623487886975054,3.053419032537228,2.27085580614434,33.12083611395228,11.704206874264264,20.425686668777196,60.697417097268044,11.975979845371276,42.981267961729024,6.211433918776192,32.90521110023613,36.16214494305333,21.60228803343588,185.84324985227767,2.6004966790678,2.2860116565161985,3.8026168726985476,3.1509681367144156,3.949480741710164,3.367477216373535,2.5542205064198176,2.6234740416419697,3.0534199502588826,2.27085580614434,33.12083611395228,11.704206874264264,20.425686668777196,60.696928748668434,11.975979845371276,42.981560545005216,6.211409536367624,32.90524517432916,36.16220238984558,21.60228803343588,0.2891475491992751,3.8471659185271747,2.5067490730796385,24.573265591535417,106.16183590888977,58.0,1218.0,42.40603961275424,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,77,180.86239414126496,2.8838085614968465,3.1631548146885824,3.97950341532741,3.0548519094272777,2.4954658035247097,3.4632860802721517,2.1564002243300178,3.2376050972042054,2.9839791174129355,3.017032481220479,23.77741070183894,61.909275909413665,29.3265397979727,39.75614939009404,48.573109215200375,70.3279984779471,4.735577744770236,32.192751922575546,30.166672593137847,33.9333131736766,180.862393291849,2.8838085614968465,3.1631548146885824,3.97950341532741,3.0548526993115654,2.4954658035247097,3.4632845453681775,2.1564008247691695,3.2376112650238023,2.983979311472891,3.017032481220479,23.77741070183894,61.909275909413665,29.3265397979727,39.75615746624536,48.573109215200375,70.3279505105685,4.735610931901595,32.1927049093659,30.166736905145754,33.9333131736766,0.10154154251386512,4.917126445227039,4.88485304653425,16.180961190925697,152.61095547676086,84.0,1764.0,126.01417532640554,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,87,145.2754206152935,2.0397602676795907,2.0524219737554383,2.056612976041589,3.682111381254662,3.720055897365776,3.2765438850661615,2.3766014194130065,2.753053609728864,2.9923653958503187,2.558367358022279,48.074352644788725,73.02372364077887,46.46696425162116,47.67661691756048,62.04112372424007,38.357693335906184,2.974384982588618,28.803816657194744,38.024636515088034,41.149257495801464,145.27541588994296,2.0397602676795907,2.0524219737554383,2.056612976041589,3.682113137608949,3.720055897365776,3.2765479637248074,2.3766105940097,2.7530489681143515,2.9923619870383122,2.558367358022279,48.074352644788725,73.02372364077887,46.46696425162116,47.67660194431662,62.04112372424007,38.357348221336416,2.974408199122196,28.8037149999676,38.02468401588828,41.149257495801464,0.041452057922461844,2.000454054060698,2.864676191047894,12.636060308980143,174.92662167549133,96.0,2016.0,14.080682120969891,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,119,140.96648416445316,2.834044009405148,3.440648986884316,2.0002287496346898,3.352696251390537,2.293511781634226,3.7550605439801945,2.834689379743521,3.0596535504251454,2.734875017640074,3.0776334680067134,37.24764343621417,54.53926752578938,23.289396232548636,48.36127018776853,11.780193557865202,58.43957208295087,5.122090039344644,25.7682160750536,24.511119276594464,21.93355211797076,140.96643958409467,2.834044009405148,3.440648986884316,2.0002287496346898,3.352713529162266,2.293511781634226,3.7550818915165785,2.8347051403211294,3.05968201405316,2.734880578689492,3.0776334680067134,37.24764343621417,54.53926752578938,23.289396232548636,48.36146873040047,11.780193557865202,58.43800705326958,5.121477443367777,25.769237200561907,24.51106976372113,21.93355211797076,4.000247893587126,0.700805980170327,1.7787619719373926,2.655093363844257,228.8013596534729,125.0,2625.0,61.489794830802026,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,107,180.86563651256145,3.1124804679808378,2.27291045132137,2.119835379024423,3.054496124556802,2.0891037570895232,3.4627694323053113,2.156451538505376,3.238267282911076,2.9836085577620324,2.0251119603182315,14.678328179816642,72.8729614500177,46.92653002479624,39.80224257585191,26.401173397071027,70.35736707696807,4.740616647806551,32.194758177562576,30.162255640041728,44.63900805215124,180.86563012145706,3.1124804679808378,2.27291045132137,2.119835379024423,3.054496670494571,2.0891037570895232,3.4627696840510627,2.156447569495946,3.2382753961332034,2.9836088253415767,2.0251119603182315,14.678328179816642,72.8729614500177,46.92653002479624,39.80217715141517,26.401173397071027,70.35734335697273,4.740617571832106,32.19480979966833,30.162225483096915,44.63900805215124,0.10092988017677884,4.942670697864796,4.870813877615195,16.22571110008011,216.53865671157837,117.0,2457.0,52.01229238831157,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,127,145.27279128448222,2.3523925111501103,2.664127148733674,2.2619936896218333,3.6821295347567156,2.6894733053665867,3.2768469330769885,2.3764478361519075,2.7534338703753836,2.9924179729454288,3.8107846374172984,39.89221727809246,45.51254304132427,61.90923342488258,47.58559984967959,41.866478970295304,38.39454781470059,2.9828011901723044,28.82640924949054,38.03054645853202,43.25761851096945,145.27278708255233,2.3523925111501103,2.664127148733674,2.2619936896218333,3.682130503795809,2.6894733053665867,3.2768465596408674,2.3764479804899348,2.7534342972842323,2.992418442574576,3.8107846374172984,39.89221727809246,45.51254304132427,61.90923342488258,47.585590456494096,41.866478970295304,38.39450437533009,2.98278966298239,28.82638543466612,38.030573678594045,43.25761851096945,0.04129199201666514,1.9698771034576579,2.854492715783271,12.681027420847212,241.76473569869995,132.0,2772.0,35.712730073769464,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,96,145.27190900329563,3.9003522384941594,3.1133063763903124,3.831212699532549,3.682084129779865,2.7800154282824923,3.2767018387149935,2.376544267691854,2.7536583370764927,2.992354270770125,3.837466871267212,35.666914840031076,72.61206434864629,21.307118334230186,47.63528544078712,18.78014527303754,38.37340290609516,2.9768416103416544,28.82488722139231,38.02741792509618,15.525664325974283,145.27190880433278,3.9003522384941594,3.1133063763903124,3.831212699532549,3.682080815692785,2.7800154282824923,3.276702902167825,2.3765411191999593,2.7536581915495617,2.992356218338035,3.837466871267212,35.666914840031076,72.61206434864629,21.307118334230186,47.6352679724802,18.78014527303754,38.37343282661472,2.9768705415365226,28.824852644889177,38.02740489188888,15.525664325974283,0.04129236346120037,1.9712444409677068,2.8688517405022522,12.667726698787863,319.65547037124634,101.0,2121.0,29.2408206767919,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,81,185.82716700835775,2.2046688576556512,2.8281119756391364,3.38880031545549,3.150801330324689,2.099906917892174,3.3666728416673255,2.5544726810983827,2.6294146102964855,3.052717985177136,3.173110081003986,68.72112449371245,18.935855769505444,19.052962571299307,60.70188233896127,35.84899440405969,43.11436656991105,6.215544405229572,32.88782430557236,36.15097611163559,40.4099294872658,185.82715989496668,2.2046688576556512,2.8281119756391364,3.38880031545549,3.1508016168954036,2.099906917892174,3.366670812972158,2.5544692839409446,2.6294049113450053,3.0527206195784062,3.173110081003986,68.72112449371245,18.935855769505444,19.052962571299307,60.701805865240885,35.84899440405969,43.114499640714655,6.215592532070614,32.88777575529252,36.15083347366948,40.4099294872658,0.2692844587625106,3.8284396994263075,2.6507053082600573,24.561089604427963,159.77682876586914,91.0,1911.0,61.76775912603251,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,86,167.6478572768205,2.6304896061907455,3.7857774170503022,3.1557144305690707,3.067412863781321,3.575858467651009,3.380585657337147,2.512162846000966,3.390271557341566,2.8289715165007383,3.837203555955051,10.026131617938235,73.48934468701889,34.477720458475346,58.43155737896598,49.30654656331346,65.95114591893788,7.700446086828415,35.55674180554973,28.485202865067016,35.539166922962906,167.64785285155924,2.6304896061907455,3.7857774170503022,3.1557144305690707,3.0674136542581163,3.575858467651009,3.380580981083337,2.5121599144423574,3.3902912511073655,2.8289698228578377,3.837203555955051,10.026131617938235,73.48934468701889,34.477720458475346,58.43156456858976,49.30654656331346,65.9512989358742,7.700496686364943,35.5567108357253,28.485267947665186,35.539166922962906,0.5843507278284137,2.692456279545871,4.808948956359892,12.058035178812286,391.0092124938965,101.0,2121.0,70.95990762945199,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,94,145.27340175159253,3.977722177812989,3.496331308759678,2.56088798412881,3.6821873159961256,2.206452013155284,3.2767644610954694,2.376525272476953,2.753229764446905,2.992463384815583,2.2600571442365553,11.258852261569311,54.12430964109292,23.755827540003843,47.58759305468222,41.952255353222,38.39647896098679,2.984053969507672,28.818075833940355,38.03174733395862,39.4915426007326,145.2733989029529,3.977722177812989,3.496331308759678,2.56088798412881,3.6821861103114535,2.206452013155284,3.276768587573968,2.3765231512615497,2.7532312429614207,2.992463620130248,2.2600571442365553,11.258852261569311,54.12430964109292,23.755827540003843,47.587513864030036,41.952255353222,38.39643805962422,2.9840333613137546,28.818037638012118,38.031744632365466,39.4915426007326,0.0413627591673246,1.9826764481167625,2.8338850913497873,12.691734232316122,177.59154081344604,101.0,2121.0,84.96413535837996,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,119,145.2736404926049,2.653289803544192,3.054116204515218,3.771884198621549,3.6822658489375684,3.817070301839598,3.2768605344819646,2.3766117231956736,2.7534900565480607,2.992437053310936,3.994645700902961,21.20213304244636,18.91382372587706,70.61870509741566,47.578458615590556,14.290011226934064,38.39949694063079,2.9811802613851417,28.8302537230786,38.03126988079047,19.349483669025766,145.2736190223449,2.653289803544192,3.054116204515218,3.771884198621549,3.682253498072905,3.817070301839598,3.276848570407629,2.3766054902486347,2.753505462594153,2.992451203910984,3.994645700902961,21.20213304244636,18.91382372587706,70.61870509741566,47.579718536544995,14.290011226934064,38.400486109713206,2.981659787054713,28.82982511882249,38.03065023185092,19.349483669025766,0.04124583222872449,1.9550361346434664,2.8514980011765347,12.687289413237608,226.43274235725403,128.0,2688.0,25.357562838617994,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,159,145.27155772390455,3.6237173954410795,3.7499232899117962,3.376826504771886,3.6822860519273064,2.321942873631217,3.2767536110401108,2.376906451101355,2.7535574582476903,2.9922027118688725,2.6245396754038337,69.55986097544282,69.12630912185124,26.712689095842755,47.63166946142588,22.54257758124234,38.367265222040984,2.978440483360462,28.82033499088152,38.02814758773509,44.808515622772845,145.27155644796102,3.6237173954410795,3.7499232899117962,3.376826504771886,3.682287145792971,2.321942873631217,3.2767538015409556,2.3769087488519576,2.7535555287763174,2.99220120823408,2.6245396754038337,69.55986097544282,69.12630912185124,26.712689095842755,47.631726786170134,22.54257758124234,38.36729929730451,2.978427633332533,28.820360093038754,38.028173518206195,44.808515622772845,0.041261135360144426,1.9703916615780657,2.8672075989533607,12.659247152584502,620.1471140384674,203.0,4263.0,22.21014299671374,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,87,145.27265142582246,3.7332165483330257,3.8996119827072526,3.6528139952586827,3.6821021127862004,2.1974868036406963,3.2767557733712147,2.3762785227892125,2.754165443421936,2.9923717922182558,2.0691424397432683,60.0655177460737,57.56235904806927,26.880395564392956,47.60146765300195,51.099715632958315,38.38960553785036,2.9830540929915417,28.830814953913563,38.02782207972305,49.66651242683443,145.27265131589738,3.7332165483330257,3.8996119827072526,3.6528139952586827,3.682101534485556,2.1974868036406963,3.276756155714646,2.376277334901827,2.7541642896853653,2.9923722003595676,2.0691424397432683,60.0655177460737,57.56235904806927,26.880395564392956,47.60145294765116,51.099715632958315,38.38961015625256,2.983046335176028,28.83080380401832,38.02782829482217,49.66651242683443,0.041194937115360014,1.9697537250661763,2.8678050953692185,12.694707975177282,168.31357312202454,93.0,1953.0,19.42225774935607,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,127,247.76438500394687,3.759996577126863,3.807683911652744,3.325439624750524,3.089531844071287,2.5047334030091797,3.673544795250886,2.22856275028472,2.7989877127948692,3.073275839354364,3.466285050575022,43.73575578516363,60.10745418262273,46.975769395806516,52.11243681523772,32.27477901696332,24.202364873287788,8.520521423523528,34.93093017706612,37.75025806898964,21.356449796576733,247.76438500394687,3.759996577126863,3.807683911652744,3.325439624750524,3.089531844071287,2.5047334030091797,3.673544795250886,2.22856275028472,2.7989877127948692,3.073275839354364,3.466285050575022,43.73575578516363,60.10745418262273,46.975769395806516,52.11243681523772,32.27477901696332,24.202364873287788,8.520521423523528,34.93093017706612,37.75025806898964,21.356449796576733,0.3114560792314006,2.437349386666143,7.780309205117852,19.997453607915766,623.3599798679352,203.0,4263.0,55.34757971400657,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
