sigma_C,sigma_Hc,sigma_H1,sigma_H2,sigma_H3,sigma_F,epsilon_C,epsilon_Hc,epsilon_H1,epsilon_H2,epsilon_H3,epsilon_F
3.338587664262022,2.5858818610760115,2.342672273252882,1.8875163674077624,2.392606618201397,2.940631992572257,54.16296150295102,10.793736750092805,11.393372868170626,15.0,8.903618942122511,26.501655315089828
3.3393154443184017,2.5847763122398444,2.3431522265740985,1.887581904611604,1.556910326475378,2.9405439503322475,54.156953846258034,10.781570658769128,11.388232528410876,15.0,9.716597163237404,26.487031676241
3.339770556885353,2.584335901788627,2.3430195397636435,1.8878227533599483,1.952702825788103,2.940495867373593,54.12206015020404,10.779313724683671,11.387580985451084,15.0,14.379831524074172,26.488875907061697
3.33876923677326,2.585885316058292,2.341274646004305,1.888114028546584,2.602909344690905,2.940749436832735,54.17932729864821,10.782840319967203,11.386058122593392,15.0,12.49857291547962,26.493515376770024
3.338190921588169,2.5858490204126268,2.342796102968612,1.8899630559060785,2.727711599284679,2.940702257759542,54.22423214600168,10.784681949288386,11.39152124396653,15.0,4.467460586329234,26.492818838673195
3.3377443701360106,2.58630902168937,2.3429290237109623,1.887385414228965,1.593947795467677,2.9407113471856943,54.24847182292679,10.787514158763194,11.391961517691138,15.0,5.2728766578893005,26.493633212655563
3.3373750637386816,2.587801371511887,2.3411644219962704,1.887695473428936,2.345477151372313,2.940768176191597,54.24832918992412,10.79433348995299,11.395961842251388,15.0,4.052914863473197,26.50175240311872
3.337604553988053,2.5863324432731485,2.3409930460275814,1.8903512443862176,2.03642677242042,2.9407472164510096,54.258150062696096,10.782924099320072,11.387820943856326,15.0,3.4851375336392745,26.49420832239252
3.3374905898070395,2.5864518916150008,2.34140199497607,1.8940417947944923,1.835354371272855,2.9407870219327514,54.24849515251319,10.79131895831371,11.38775984756198,15.0,9.81436989198639,26.50092828616889
3.336550185916706,2.5865580459022737,2.342365211653213,1.8870378535387635,2.450612780735702,2.9408505485304715,54.29937507555883,10.792166948922455,11.394340059750087,15.0,14.692785006212803,26.50362949083109
3.3380475631971613,2.5799381302804325,2.3434450081770293,1.874209511975529,1.677949452599847,2.9407225852156147,54.20667916479463,10.767679070247862,11.392393431970968,15.0,13.276486018745835,26.49746225153646
