Run,Iter,Min Obj,sigma_C_min,sigma_Hc_min,sigma_H1_min,sigma_H2_min,sigma_H3_min,sigma_F_min,epsilon_C_min,epsilon_Hc_min,epsilon_H1_min,epsilon_H2_min,epsilon_H3_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_Hc_cum,sigma_H1_cum,sigma_H2_cum,sigma_H3_cum,sigma_F_cum,epsilon_C_cum,epsilon_Hc_cum,epsilon_H1_cum,epsilon_H2_cum,epsilon_H3_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
16,87,85790.67565834695,3.337604553988053,2.5863324432731485,2.3409930460275814,1.8903512443862176,2.0364267724204197,2.9407472164510096,54.258150062696096,10.782924099320072,11.387820943856326,15.0,3.4851375336392745,26.49420832239252,85790.67400855527,3.337614813397429,2.5863152116014003,2.3410104623372505,1.8903390315872413,2.0364267724204197,2.940747193267603,54.25819037451118,10.7826963841774,11.38781027215288,15.0,3.4851375336392745,26.494127946135503,3.4494137175002413,2124.092643911387,264.5280790713947,22.257246472011857,19.688274824193687,5468.424107424451,3762.5401354643623,155.8850785686385,154.04125283054952,307.80879034508376,161.7002202514178,390.0843900904257,10.872748334984838,748.9541996847784,535.6161375171487,97.90959757171558,25.21860762402001,21.088896543879848,214.44986569511232,51.97040872916068,5.182492615733631,278.36780081349843,238.1510390770588,2.195295236176373,26.642654409526635,243.460754697412,145.20423907820526,117.07204491335514,127.31917324919024,16618.41626782421,9403.24522373127,1292.4235277578994,962.4754455089568,93.0,1209.0,70812.97040991795,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,83,85790.75795520004,3.3374905898070395,2.5864518916150008,2.34140199497607,1.8940417947944923,1.835354371272855,2.9407870219327514,54.24849515251319,10.79131895831371,11.38775984756198,15.0,9.81436989198639,26.50092828616889,85790.7579014436,3.3374931573589746,2.586452836885351,2.3414035065758947,1.894059525685623,1.835354371272855,2.940786077894185,54.24845082166176,10.791300094643589,11.387755081589498,15.0,9.81436989198639,26.50088678786383,3.452716871023588,2135.7662246694736,265.0144557299307,22.384891614532428,19.835142391736383,5488.8055284752745,3776.082782396364,156.86185844097042,154.3798232870688,312.1570747482939,164.88680428431695,392.8152422957669,10.803959736141316,744.9083487163339,532.255663564198,97.15741309362448,25.03929306474498,20.94157265803704,212.016790271577,51.77641274787736,5.134405845695809,279.17898213226147,238.95158012945564,2.170075175049724,26.60483351123532,243.2504190076754,145.09394935781637,117.17055451630178,127.72456633094028,16641.406399384086,9416.03392611934,1294.229166821145,921.1273198127748,88.0,1144.0,78216.4032163718,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,79,85791.1989201981,3.3369268131324854,2.588380129833688,2.341921105673404,1.8881477829888025,2.418700736154694,2.9407709571019702,54.24965326322007,10.809758577875357,11.39194780437734,15.0,12.53722532020491,26.51237383218626,85791.19886943814,3.3369272849776173,2.5883788203358407,2.3419220712460467,1.8881412673645304,2.418700736154694,2.9407709757591256,54.24968370685304,10.80973390046592,11.391943334552789,15.0,12.53722532020491,26.51236724808638,3.4693738566269845,2148.8582252245374,265.0615732574868,22.45715293169817,19.56673129092224,5456.691242754133,3754.812339341621,155.0475564341471,152.549680243069,323.8932983717073,174.0656470222886,398.7618803081678,11.174400573139293,745.9862717489254,530.4583253801778,97.83591777569087,25.144057090499278,20.79079325406422,213.2517681638001,51.60655199259715,5.0772139949360255,281.23933285959976,240.9661619097256,2.119923772082254,26.02691658709624,237.64320721441527,141.5912711232876,116.19512854805308,127.80736521989422,16666.80463226379,9427.719005085924,1295.1588207403147,895.7312541007996,89.0,1157.0,73047.27159928608,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,82,85793.27213716554,3.336550185916706,2.5865580459022737,2.342365211653213,1.8870378535387635,2.450612780735702,2.9408505485304715,54.29937507555883,10.792166948922455,11.394340059750087,15.0,14.692785006212803,26.50362949083109,85793.27108321655,3.3365505089642977,2.58654848929302,2.3423687066371497,1.887031834008036,2.450612780735702,2.940849286829649,54.29938494657978,10.792100377475723,11.394385476866278,15.0,14.692785006212803,26.503653636381355,3.439496074241575,2125.371541793408,265.0100778573247,22.30868164500121,19.445600113834573,5425.9250710743545,3735.085906288869,153.89480771675906,155.0930363382951,313.7755550066259,166.18800550519026,394.41724147305473,10.82859695628864,748.1139553695687,534.5869415947288,97.799923882269,25.184766908489447,20.60778376871371,213.7072397612594,51.66890353231699,5.071583616691899,280.7166143757037,240.51419564165224,2.131980812347594,26.5386358792238,241.66939504926336,144.145200830949,116.72828792896482,127.27267654328028,16602.77239212282,9393.685402872949,1290.6638622459438,921.9206757545472,91.0,1183.0,73636.62419906078,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,47,85795.94688710239,3.3375271475479367,2.5832767388769367,2.3390977182172703,1.880375930922005,2.739637827045148,2.940661460358276,54.25838850843569,10.777915358429158,11.390029117390124,15.0,14.128454311730316,26.48945953376916,85795.94495202621,3.33753141854153,2.583271044694266,2.3390955047425366,1.8803741606011348,2.739637827045148,2.940661423305877,54.25823882266712,10.777898003696274,11.3900380746941,15.0,14.128454311730316,26.4894534501083,3.424840080230996,2084.648042190571,262.15119270130805,21.868646120009195,19.352542834886748,5432.209711775764,3738.200479137157,153.77763861518162,158.98365198166243,301.1457972982058,156.13149657506727,389.0127428429664,10.09750838606586,738.5766710670581,531.2546270809675,95.14055523560803,25.47974734466782,21.035710342237184,217.64195205703115,51.78040268170518,5.290442080632152,278.9254528362707,238.61899096151583,2.2031782104761013,27.524760642457917,248.4939113345417,148.52046818072253,118.03352399559478,126.175628163575,16627.37991876532,9403.677272472743,1291.376624779651,574.015570640564,54.0,702.0,77146.6918679906,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,54,85800.19355637816,3.3380475631971613,2.5799381302804325,2.3434450081770293,1.874209511975529,1.677949452599847,2.9407225852156147,54.20667916479463,10.767679070247862,11.392393431970968,15.0,13.276486018745835,26.49746225153646,85800.19322441967,3.338048385216093,2.579940151869118,2.343448077595754,1.8742070410328997,1.677949452599847,2.9407220813869417,54.20659588270169,10.767663943247396,11.392404264762195,15.0,13.276486018745835,26.4974453244879,3.4256011587071544,2104.403832997825,262.89324143522606,22.11453177217325,19.27450228071137,5437.745594533089,3740.709669158063,153.5449298252408,162.83397831217783,284.3243669570753,143.747361692598,382.0548328617375,9.666892917846267,742.4332823533123,537.0456179583316,94.9482941963859,25.61142343233797,21.603235431505237,220.69741977035707,52.006944207354366,5.0053643173033935,280.82493705674614,240.55480365448392,2.114555025041496,28.339892255492423,253.0783871854314,151.47673962110753,118.92074354912631,129.1810435250581,16675.32609985421,9435.209966095224,1296.7240466469298,590.7802605628967,61.0,793.0,73570.12194274052,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,51,85800.56734563565,3.342509867964333,2.585893291370584,2.342562349679849,1.894131492338824,2.6835582452472067,2.940260467503366,53.93626630483199,10.795259864767925,11.380865333659472,15.0,13.531836154785282,26.485280142596377,85800.55086865244,3.342602889307171,2.585879443705857,2.342458829474698,1.893838053800161,2.6835582452472067,2.940267421721117,53.936266385484,10.794385113489382,11.379976982773234,15.0,13.531836154785282,26.484332026645458,3.465604111626692,2107.0405991776006,259.5514369388499,21.99054212627035,20.72243490272277,5700.513536915766,3910.829508384633,165.29963516413747,150.2885866908788,300.9486411693266,156.65097373724262,383.6701884068133,10.857160524498363,736.0295997591982,524.9790778127107,95.27118299354598,25.22983241001489,23.158941736879772,216.21734329827495,52.11087267601323,5.079920593841355,277.2899224375765,236.83950759975025,2.186936336639043,26.68076932774788,242.7464324103112,144.71167569643077,117.61249496510294,132.73042201896428,16885.640730403265,9551.578823028824,1312.933225253546,529.1940035820007,55.0,715.0,80312.0246458423,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,46,85801.48756557575,3.3373526656561623,2.595560212826238,2.3419682603143874,1.893950374598047,2.726566810271467,2.940784380028749,54.2955418411857,10.81281128467529,11.390157130683644,15.0,10.705110526379745,26.491525991192795,85801.48687995962,3.3373587601912464,2.5955627607073555,2.341963459623829,1.893958031994312,2.726566810271467,2.94078470371634,54.29540910547786,10.812734865274312,11.390138912593184,15.0,10.705110526379745,26.4914385827314,3.468924985884433,2144.052958248164,266.1597334609549,22.424577123661813,19.725187009541852,5456.453421600001,3755.298364961207,155.74028192855602,141.70263834718224,345.9609961831399,191.60066242465007,403.3036562963658,13.050714701913192,754.6107201068124,530.2115841527852,101.37489460243238,25.20922415318308,21.14112634506384,214.32716851317144,52.27848533401764,5.161875977214783,277.02902601350337,236.9173674935867,2.2215781464541524,24.239345724948137,229.3505343171492,136.0321238294957,114.4508522779046,127.15067658052304,16559.63526166996,9372.455875523068,1288.4507399099934,553.7092580795288,52.0,676.0,72104.45295880697,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,36,85808.01796975786,3.335139509625804,2.589991137230969,2.342738981571355,1.8749576419512248,1.611879504135929,2.9408401044065773,54.33661374102469,10.837649643341027,11.386188095001131,15.0,4.8642981041970765,26.51582127243896,85808.01746335789,3.3351390400680447,2.589992589441583,2.3427368207949057,1.8749577938862152,1.611879504135929,2.940840176185258,54.33665913106653,10.837634439551714,11.386194618425336,15.0,4.8642981041970765,26.515821068590117,3.422100278303757,2099.609076003447,263.1866606405957,22.03823157394011,18.92412185862713,5351.510467901393,3686.155544883778,149.96467096848076,153.83971881300147,351.10102685750394,194.31920028741249,414.2506607363512,10.919853769630922,725.3795472716647,513.8887250087399,94.33781017163298,25.331922889846474,19.920700104579005,214.7277175551421,50.973925331122345,4.985538274456601,287.29676767707537,246.8876941302436,1.9916753487552987,25.690399136092854,234.9150480618756,140.00406228347651,115.8385115912884,127.6874333268964,16651.670646053273,9424.44036737861,1296.1562188724174,383.9272723197937,43.0,559.0,70106.03832850918,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,42,85817.2789912188,3.334508943964698,2.58781801650743,2.341691418158905,1.868294155441905,2.251981085476211,2.9410617368642624,54.401927227108615,10.796589533706236,11.401517739622676,15.0,7.229026416380861,26.51833697387,85817.27189090506,3.3345154102627688,2.5878240300335227,2.341707666734392,1.868292819325526,2.251981085476211,2.941059779099769,54.40186310863413,10.796576412036826,11.401572518084503,15.0,7.229026416380861,26.51823183993699,3.4415615693514683,2147.45965468893,267.4445399722285,22.566356329595035,18.58794605192092,5274.38471252084,3635.539840947501,146.70587083822102,154.82020177129704,318.0050625847849,169.96662266201577,397.5732603364782,11.240702359579268,762.3680906890211,543.6610435233933,100.85743815214288,25.63385812269821,20.68701601029601,220.187197671436,51.872710861370365,5.078968754492447,282.0036251610981,241.86273277446352,2.1147063553047944,26.07628279166249,236.62863911490828,141.01281599588174,115.4928296222383,125.28243787020392,16540.61150515256,9355.529516309534,1284.3184928365797,498.4891095161438,47.0,611.0,72010.30206200347,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,49,85821.70600095499,3.3389966230291623,2.6017671414714294,2.3440512324065748,1.9044124962551856,2.3571663485533687,2.940412062911568,54.17688158484197,10.86477402229919,11.405252934662034,15.0,7.838056470946,26.483067527398006,85821.70544420995,3.338996375066052,2.601771329327776,2.3440590951722897,1.9043997231603769,2.3571663485533687,2.940412038018516,54.176973442947485,10.86474664909656,11.405248692011895,15.0,7.838056470946,26.483040449667552,3.4647134797033363,2093.584222925871,261.0284435742155,21.804035981257613,20.45482355911823,5589.517907520665,3841.909989658666,161.57411322648795,134.18488791157304,392.1405435564113,227.46371915105524,422.12745953972166,14.111088495985676,723.9123748427699,500.72353628523433,96.97061074774648,24.87793892029156,21.173069544235467,208.55410711063016,51.43980256155169,5.061721047742925,278.400275476983,238.1512462708003,2.1752719888996643,22.80418656973209,220.3499623437223,130.259343860574,113.38031697111607,128.88863776944922,16641.429128317304,9411.111624469446,1291.5024972626252,562.8974471092224,56.0,728.0,76247.23793732208,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
