Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_min,sigma_H_min,sigma_F_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_cum,sigma_H_cum,sigma_F_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H_cum,epsilon_F_cum,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
15,65,27.067329232665628,3.753785212237847,2.5905633769739427,3.068650423239237,2.4501764427156614,3.577812862670304,70.26673897011086,38.48360300447073,24.457590938697077,4.885471705752809,41.90423682941543,27.06732868878956,3.7537854844376746,2.5905633769739427,3.068650423239237,2.450179400643916,3.577812862670304,70.26675598647596,38.48360300447073,24.457590938697077,4.885460392518052,41.90423682941543,1.4986233550813428,0.2947333188441907,4.820158075392595,14.169992166352976,142.91075325012207,76.0,836.0,44.72809308109069,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,203,27.06739575068916,3.7531275904984502,2.768857739595268,2.420105279851319,2.451819738404604,2.636872404623352,70.30504158102366,15.690291349739448,13.690077113148186,4.877546447475876,36.34305453215588,27.067394938501582,3.753128422347486,2.768857739595268,2.420105279851319,2.451820190468893,2.636872404623352,70.30507021042942,15.690291349739448,13.690077113148186,4.877547817815271,36.34305453215588,1.522127588562756,0.2878028280916662,4.802775597924024,14.214497824051172,473.0798938274384,284.0,3124.0,58.72432720490274,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
14,103,27.06825524341851,3.7543482963851553,2.132972568640262,2.4312369932254017,2.4491537824259706,2.724442604936298,70.17984593103947,33.51791232124098,12.371386961778793,4.899603189399995,17.165754516325066,27.068253510082343,3.754347802276565,2.132972568640262,2.4312369932254017,2.4494450602695235,2.724442604936298,70.18043182432791,33.51791232124098,12.371386961778793,4.898845188837703,17.165754516325066,1.5026311475794103,0.29902177772505,4.853625523127223,14.128823794278668,197.7636182308197,110.0,1210.0,42.59955591082689,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,146,27.07227220982217,3.754868326913064,2.2863567568388428,2.662614005110646,2.447771515328659,3.351047131961112,70.08155294524008,66.25598832149207,48.570075910690846,4.916394332225527,32.2474989707427,27.07227024536089,3.754867572299107,2.2863567568388428,2.662614005110646,2.447761382871807,3.351047131961112,70.08168791992884,66.25598832149207,48.570075910690846,4.916411163135464,32.2474989707427,1.4741094624466078,0.304763394103916,4.9148415135384855,14.107170784599012,287.83322048187256,159.0,1749.0,69.8916826186053,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,50,27.08326845372226,3.753991909950873,3.334741656160922,2.321581837931662,2.451824296275745,3.452578681440754,69.95430917646914,53.845446530764775,71.94405575623635,4.9286964404807545,23.81712134085239,27.08326845372226,3.753991909950873,3.334741656160922,2.321581837931662,2.451824296275745,3.452578681440754,69.95430917646914,53.845446530764775,71.94405575623635,4.9286964404807545,23.81712134085239,1.6258734762863167,0.2915244075954967,4.902745349902619,14.163659178258555,167.47634649276733,95.0,1045.0,84.55884181543654,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,141,27.092038458691725,3.754938642394344,3.6678087804446418,2.4474022105270348,2.450805294010753,2.462580722722991,69.89486471239599,39.16912304149426,38.74192338765529,4.938357036214102,41.02950243923463,27.09200696696221,3.754932316855609,3.6678087804446418,2.4474022105270348,2.450817766779445,2.462580722722991,69.89500168006546,39.16912304149426,38.74192338765529,4.93831887859684,41.02950243923463,1.6833636318555296,0.3054906050257662,4.820276736159461,14.117687195307113,148.72183799743652,168.0,1848.0,600.8710604343651,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,40,27.10668801210637,3.749563476565299,2.656269478365882,2.194054639514936,2.461432112265047,3.9095219312951928,70.5270350966992,61.71197585428244,25.93750404209245,4.831462986727748,37.24137718782465,27.106684568288014,3.749564619754828,2.656269478365882,2.194054639514936,2.461431560217017,3.9095219312951928,70.5268953562143,61.71197585428244,25.93750404209245,4.831480885616209,37.24137718782465,1.7264235512356014,0.2418420643482344,4.753299883557683,14.345960912621416,44.00150084495544,49.0,539.0,694.7120474947852,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,120,27.14650692800445,3.757400619695983,2.395867297454687,3.273010921820364,2.4427022222938004,2.860396442366997,69.50845824694909,17.57546871723685,40.63189046554869,5.010523399094118,45.43484789353127,27.146499279018197,3.757390585941618,2.395867297454687,3.273010921820364,2.442741600565093,2.860396442366997,69.5080625891277,17.57546871723685,40.63189046554869,5.010516034150603,45.43484789353127,1.4358337185135637,0.3389312979378785,5.141283647476527,14.050013413835137,298.9653751850128,164.0,1804.0,72.00753674890204,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
3,110,27.181177304021404,3.757052405906456,3.751280857504435,3.304921702274746,2.445279580511925,3.828336020336718,69.33878079094154,27.070977921980216,41.96410759563524,5.0313229972457005,23.45475901486004,27.18117288543104,3.757054558180661,3.751280857504435,3.304921702274746,2.44527335275313,3.828336020336718,69.33877209223313,27.070977921980216,41.96410759563524,5.031334569460428,23.45475901486004,1.5531454971164165,0.329129054421699,5.1855091144424215,14.05936560093649,227.30978798866272,128.0,1408.0,81.922201261366,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,46,27.22659761574365,3.748726328307069,2.900824959176138,2.370291414564963,2.4616645032576008,3.820029253436643,71.15273803980732,40.49085687551413,74.13536065870512,4.741909633565736,37.71995759996298,27.22659688712438,3.748726136460756,2.900824959176138,2.370291414564963,2.461661953735651,3.820029253436643,71.15285574243678,40.49085687551413,74.13536065870512,4.741894548908389,37.71995759996298,1.6231430959681177,0.2699126922017453,4.287350612878583,14.579419814795775,101.2517716884613,56.0,616.0,1101.913674471095,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,28,27.4389462975129,3.745841836599029,2.604874494444951,2.831501342980717,2.4668752303189487,3.762576205179607,71.6106259899986,56.65813670502087,40.24901297267,4.671398377898309,32.113139197697826,27.438938747205206,3.74583883198403,2.604874494444951,2.831501342980717,2.466887718424588,3.762576205179607,71.61057323418297,56.65813670502087,40.24901297267,4.6713884152536815,32.113139197697826,1.6054121213129382,0.2512273334478485,4.193907132832675,14.76245503995096,64.75924468040466,36.0,396.0,569.1710138258153,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,48,27.599593784730253,3.7618850161889,2.6650928341804496,3.5152854525689547,2.438068967591814,3.9605774584672298,68.10409884567711,57.92089403062207,17.745625551129546,5.233685005915081,49.65495412930214,27.599593558829397,3.7618858097718553,2.6650928341804496,3.5152854525689547,2.4380667586608715,3.9605774584672298,68.10408980140605,57.92089403062207,17.745625551129546,5.233690642762322,49.65495412930214,1.614041192320049,0.400011526156158,5.61062873670981,14.007819658740182,97.18726992607117,53.0,583.0,42.60243656480625,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,78,27.78427822334141,3.764404689435948,2.010636737223801,3.703111518520002,2.432350758045701,3.535126886306745,67.6797594602664,58.994074260867805,72.13008973028215,5.312317151420354,46.05637367407022,27.784267012134777,3.7644073477291258,2.010636737223801,3.703111518520002,2.432342499407273,3.535126886306745,67.67979704838854,58.994074260867805,72.13008973028215,5.312326244453557,46.05637367407022,1.5192600147176112,0.4399546060341531,5.778794447294858,14.004510453959131,167.73025250434875,92.0,1012.0,159.02802417982448,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,84,27.860668751529865,3.7647911676873393,3.41151908093349,2.785455405579896,2.432496824114351,3.187377159840694,67.51438544364913,37.40525544923104,62.72873847307927,5.338530826512751,30.0300661159561,27.860019155844988,3.764879603151872,3.41151908093349,2.785455405579896,2.4315375507644883,3.187377159840694,67.5187033573111,37.40525544923104,62.72873847307927,5.340503244554531,30.0300661159561,1.5571258985629108,0.4556971044121239,5.759731346641091,14.071859040127924,169.0284903049469,92.0,1012.0,214.00669395085973,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,69,28.25092998845075,3.768250245312093,3.925021973710473,2.0205410699353807,2.42353680641564,3.584730012972554,66.74443616958283,32.61628396734805,72.67224739031325,5.484883512335633,23.93855016627217,28.250917184769012,3.768034357524352,3.925021973710473,2.0205410699353807,2.423890462140321,3.584730012972554,66.74556294117116,32.61628396734805,72.67224739031325,5.483752079106406,23.93855016627217,1.3127960692496548,0.5292710614919731,6.059609977185001,14.29590683442868,146.8789587020874,82.0,902.0,302.3445631234292,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,125,29.043524102899237,3.775550513869097,2.7191210462159336,2.941436147055948,2.411798338097634,2.824458367247535,65.23796837987793,40.936502743134,41.05396960695865,5.766584374456931,21.23956071821344,29.04351523681356,3.77553783876985,2.7191210462159336,2.941436147055948,2.411789236697678,2.824458367247535,65.23816950757498,40.936502743134,41.05396960695865,5.766616221649422,21.23956071821344,1.2822473245073789,0.5889890627566914,6.407985833054028,14.47577863954219,278.4481337070465,157.0,1727.0,345.1997397359709,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,69,29.04716591820163,3.7760345743873103,3.392653767462904,2.261357494776101,2.4121892519215664,3.74483722360234,65.22559150987637,36.45830036682259,33.63353588415909,5.767260302373784,29.578633823534982,29.047163090961448,3.7760351908036256,3.392653767462904,2.261357494776101,2.4121672900869267,3.74483722360234,65.22576658631843,36.45830036682259,33.63353588415909,5.767304352820595,29.578633823534982,1.3640830946726634,0.5993209542155518,6.2663712449861535,14.469425400801022,72.75156545639038,82.0,902.0,254.03529607114976,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,87,29.159153588386072,3.7707843287805662,3.2330611758500223,3.6442983121491617,2.4098292506690235,3.427571287734314,65.47283112052959,55.48907401502564,18.524494021508676,5.742171821531667,45.18907050840106,29.159153582721,3.7707843122487934,3.2330611758500223,3.6442983121491617,2.409829240197551,3.427571287734314,65.47283365565617,55.48907401502564,18.524494021508676,5.742171438980787,45.18907050840106,0.6301659237381405,0.6897540159161378,6.542179574886648,15.51280941373098,169.69415855407715,97.0,1067.0,1096.4519101699134,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,76,30.537007150809483,3.786207866389622,2.011366829598551,2.164722428098917,2.396557298794204,2.939489514671938,62.386038077052895,11.766521095626814,10.83750643799366,6.329382855750537,24.910911078160357,30.53694856106286,3.7862358047447136,2.011366829598551,2.164722428098917,2.3965400216165493,2.939489514671938,62.38620225955294,11.766521095626814,10.83750643799366,6.329370254137896,24.910911078160357,1.067040201032662,0.6193724327160912,6.398443375155339,15.871509917406096,159.41145753860474,87.0,957.0,407.6722904781932,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
21,47,30.55692295906318,3.785034023453784,2.021195761475337,3.0695818055184247,2.402253758249598,3.037152464043336,62.3182827967182,69.59368632609292,72.96495003709967,6.3213533618072,17.9663649096159,30.55671705274677,3.78466469400746,2.021195761475337,3.0695818055184247,2.4024560717129653,3.037152464043336,62.31650235158173,69.59368632609292,72.96495003709967,6.321366708300592,17.9663649096159,1.2653805845604036,0.613218873915935,6.410376507439031,15.79060698490268,99.01679229736328,54.0,594.0,306.201850894413,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
