Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
181,130,10499.171261275575,3.8326502223600736,3.3863349338247843,3.85444708618114,3.474412588954526,3.199698049688137,3.3474967258839365,2.0760959510599863,2.866105883308335,2.9995293478539358,2.930828075798779,56.06021111730285,43.00356839684698,45.112726874109285,47.638353867567,47.27472667792474,48.248401938265786,10.13116381854819,42.04561126105059,25.113988645480017,28.492986964683976,10499.169026882422,3.832652523319997,3.3863418221482977,3.8544476994456978,3.474411574201204,3.1997047710954414,3.3474979917307524,2.0760992818130846,2.866101529287746,2.999529956166458,2.9308277094987316,56.05977603417137,43.00340762228462,45.112452359267785,47.63853955715703,47.27464697534861,48.24826714519228,10.131228819692591,42.045664265336725,25.113963388801118,28.492919129747953,0.6762322229839195,36.02667703691189,80.14818502259865,3.817365540716194,20.03820027451126,673.4528243715962,499.5058518835148,7.711177863938864,24.010896963489746,5.210161392046217,27.732944219062894,22.428412860601565,6.710805624759482,25.908903042079736,5.93881806392036,38.27110514193886,6.870903679526625,12.240326352461093,16.4960613862875,32.41356624650722,6.3411128626532065,156.13496603516847,56.71234480303508,1.5077273044029065,5.129101990930299,4.864637600005181,35.629855899857205,17.12628652715416,1727.5753798484802,138.0,2898.0,50231.133564259704,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,149,10311.220988078843,3.8324382529087315,3.386691051610204,3.8515867085212414,3.5498657337759205,3.7281099707805425,3.4130891974727717,2.0618342792224693,2.8430630039501814,2.9811974916939916,2.93072189439484,56.61554339619404,43.004232273913026,45.37534663364664,45.40150001048527,26.47974072250486,42.81387502801423,10.154166263506061,41.74186120356557,25.52869881070271,28.483961355906192,10311.220463295973,3.8324386565504835,3.386689419913302,3.851586494225895,3.5498630656378056,3.7281133075035995,3.413092516349616,2.0618326699878606,2.8430623931841565,2.9811994488271547,2.9307219395147976,56.615685601957345,43.00430866813409,45.37544096458775,45.40172474974815,26.479826907847837,42.81398318499016,10.15413954790726,41.741827094683075,25.52855506071757,28.483960181492257,0.6779873413451185,34.887920202470596,80.80882141470572,3.7503303454969354,34.25353695382793,651.9749809920474,502.6982149209067,7.0501464701924155,27.135726580167923,5.866753266517287,26.960817109013412,25.29468614338315,9.118027127588896,27.727259209705284,5.986039450821157,41.06795108576574,0.5159830024917096,42.46922012617536,33.40583706699431,7.776367569837737,7.849697586623769,92.36845719899512,44.33400641844571,2.0638379311909927,8.167683055809107,5.670370594333399,29.260345531388662,18.42218098529678,2051.3901510238647,158.0,3318.0,35713.853095301536,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,168,10016.730178290725,3.834636986013006,3.389743011682134,3.8505691862726015,3.4367580158921824,3.5563254780241023,3.784448121734078,2.033864614728262,2.838382443872525,2.98207148203236,2.930330792064348,58.50036421809508,42.81762154572965,46.48715671983135,51.435651832332326,30.80539168015338,37.26681793499628,9.89226635091687,42.007713748458755,19.68755909678377,28.496059417174514,10016.73010802823,3.834637698173808,3.389742349572003,3.850568801786376,3.43676097272601,3.5563263913723726,3.784450380659643,2.0338636720742533,2.838382419185903,2.982071133842939,2.9303308151318723,58.50044650429219,42.817643628373204,46.48719856145347,51.435513872584195,30.80537043212949,37.26673699236224,9.892255711876814,42.00770992137453,19.687548004780748,28.496060187321422,0.7082044558725612,37.77478973491661,81.52728024771481,3.8483408980538933,42.695497656956064,669.971727701634,464.2586019088175,6.849285633949988,25.21782542127588,7.135732724253051,26.908989412533145,20.43574373754638,12.178784518428799,36.70709287214765,7.947760634708263,42.35012703961325,1.167155403986877,36.35634683950361,13.955613132844114,10.594520558655885,14.04246205812998,5.3942890488053195,24.43224358809413,6.23437461524215,6.545491605819034,1.4514065309956203,22.74832241005429,11.162405756197156,2249.4416477680206,178.0,3738.0,9507.238369304556,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,212,9998.013081558916,3.8308868426902354,3.3918859600389792,3.84527734532009,3.463557269521215,3.2895287786152316,3.8285830032361696,2.05713404562904,2.848044274946071,2.9803184561702665,2.9303261942324883,57.206042902505054,42.775936316516,45.75188492838353,50.070667153469394,40.269563710133234,35.250243871747166,9.999527030871114,42.15111593941381,20.011918268271533,28.475753140992225,9998.013048386458,3.8308876469212674,3.391884994664767,3.8452756617255917,3.4635596664003208,3.289530132277193,3.8285873263996093,2.0571354118627494,2.8480453048651313,2.9803162251345094,2.9303262541020243,57.20616203418375,42.775990011822834,45.75190895330346,50.07060100205725,40.26948322002572,35.250153143236474,9.999493546607393,42.151133257630846,20.011882743688716,28.475744679806024,0.7089294131077559,38.62296625924273,83.19171411875185,3.9286099143558877,32.162217575857284,665.7882224306094,454.2971689062861,7.14966736264738,26.666354475763754,5.623886410548462,27.069589639760014,21.799770242685486,10.529281178692088,26.307026856866415,10.435549828905904,36.80050395173764,2.3956819742072226,37.28199669648735,21.373613864327357,12.961523202543162,10.10547525357999,15.268578888136044,12.818672491411366,10.039717643904424,6.054237014419218,2.843188470324065,13.953064433715678,13.914713274169618,2747.9720385074615,219.0,4599.0,18113.74964028777,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
166,212,10462.137459058653,3.823544650450654,3.396145052593929,3.8523571664422884,3.4969107438192304,3.237129248508765,3.3207894036722,2.0861004668976393,2.864260925574846,2.9918284359304796,2.929876124750368,55.30993451302564,42.60171620600392,44.6429723410324,46.348832912373695,44.259623701790254,46.80986407485243,10.246079123054121,42.134718702875155,26.449758293898995,28.459404551996176,10462.137328483632,3.823543906468181,3.3961454178873196,3.8523572832192885,3.496912080997019,3.23712874016409,3.320795446613954,2.0860950367353923,2.8642618734131533,2.991829102599369,2.929876464514743,55.31019204523394,42.601716389388926,44.643093035536,46.348685297005254,44.25967333737169,46.80990811055451,10.24604802053556,42.13469169730093,26.449598606932685,28.459409239626112,0.7280865181842742,38.512652305544925,85.93892543406174,3.9260234499772464,17.55089354601537,723.7514496250521,486.57093693036893,8.190900865419273,31.77136133094553,5.245551635576736,26.486665957671484,27.283891482329157,5.879790748820351,21.24108714635922,8.291500901861857,34.8041609999544,6.660740343081291,16.30842669321443,16.00770956643602,28.44263376992573,5.740725437891739,143.63656282329478,57.96327776858844,1.7786294308922046,6.106332290315375,4.161733735566468,25.742059697832467,21.855115038822415,2732.9442422389984,222.0,4662.0,17903.638191668888,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
108,194,10450.71765641003,3.8270609043918724,3.393967767228774,3.8532486253292255,3.5054106419094957,3.20494959900746,3.2817600093753936,2.0873458872052293,2.86754661705496,2.990088134227115,2.9300859453275785,55.341135608689896,42.70895770978677,44.69139434510443,46.1779704962432,46.324782338771044,47.84475635732466,10.217995084432548,42.15358442686985,26.99760760158216,28.460273915856547,10450.717617401617,3.8270609012930397,3.393967928235406,3.853248741505752,3.505410803339648,3.2049495537721455,3.281760457537282,2.08734613931747,2.867546586444444,2.990088114737917,2.9300859426925348,55.341118500216695,42.708956601709694,44.69138360683191,46.17797157865918,46.3247884620648,47.84474403477494,10.217996828997649,42.153582320565725,26.99760016458153,28.460271538262802,0.717365821788686,37.85168690176556,84.92199299304802,3.8895185345334564,16.5087302784644,712.2522545797731,486.9059285837627,8.189084207067248,27.920952052977896,5.2858149830725125,27.156162995939756,25.11695160705369,5.741028012733576,21.81815595908912,7.2036771976739296,35.869333771723426,6.9798155091938145,13.187357824472565,19.16013311317576,30.997272106915,5.353867427006048,158.42500354333276,59.924139394395326,1.7440051979823739,5.956155058730358,4.431339436775362,30.263431325975873,21.565615739032822,2572.5449137687683,202.0,4242.0,2848.3010969420434,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
91,232,9957.023083054564,3.8287180630757875,3.3928612218377427,3.844953100880397,3.4540272520876303,3.3664509272723424,3.827016583832607,2.0657772402387864,2.84474988709761,2.975841300420436,2.9301215654981547,56.490710060276164,42.66715743852501,45.33575821525612,50.30504936902407,36.76282367062887,35.40182591460527,10.109179119265823,42.127784816904615,19.95129248996402,28.494851129781715,9957.022811339402,3.828727263925427,3.3928600686074617,3.8449541976078523,3.4540324139076644,3.3664455893616307,3.8270156110554456,2.065777475249128,2.8447565238464874,2.9758391395005788,2.930120974977281,56.49080701008359,42.667213271897204,45.33588019238227,50.30464034975604,36.763017534015184,35.40203752332408,10.109167771206415,42.12782549483002,19.95121511491745,28.494868262973572,0.7181626612533538,38.8801456478757,82.83769544521115,3.9363385129922963,32.13839277707436,678.1553092008252,461.30261938069617,7.22682617804937,28.305570707891953,5.7761827648557755,28.27534548457636,22.793002772529142,9.527062300554533,23.213698252282537,11.062822733071437,35.18977416141964,2.099718197853322,48.15762567931298,20.558058690377166,11.443409019161837,11.205379409578885,12.077789362918487,16.97708846293387,8.752334389262984,6.559304220676339,2.4647381176388627,16.092419860492022,13.059146175943184,2999.9816563129425,242.0,5082.0,3335.0076560973444,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
142,248,10482.769566592136,3.829088610952613,3.390370801342915,3.8538617059878444,3.4745125320134957,3.385280726239943,3.4068060594206386,2.071902749557559,2.8592201926920384,3.002845028293212,2.9303688342471585,56.12146429063445,42.808113359651294,45.12441293920935,47.7338527521879,36.71512809693849,45.88100120079177,10.161944880989173,42.0844380566339,24.635243782633268,28.491102565804297,10482.769461150487,3.8290859764937735,3.3903733149182633,3.8538650056454973,3.4745295345064124,3.3852825370888557,3.4068022839630556,2.0718970007852624,2.859220435869294,3.0028478659052196,2.9303686819761765,56.12177495302076,42.808105626897465,45.12462275491086,47.73346522524758,36.71538105077355,45.880778805065205,10.161911708369615,42.08434541548862,24.635349794158557,28.49107220562323,0.7112721885720636,39.17959339121935,81.8795121270647,3.918759537698579,23.39420672111244,672.3939369380988,477.60865694282194,7.503901442941913,28.00140064795559,5.4754752128714514,27.51155732943488,24.203061699398212,7.17036906269099,26.09160290605311,6.603254485890206,38.03527828945677,2.7155950678767025,45.025985422209196,21.13640331085312,15.728881637201713,6.513354942425512,115.7082212835499,43.35029603124539,2.1151968981114906,4.877478692884043,2.641688787916095,26.903332534423658,18.163863950079147,3205.8095417022705,256.0,5376.0,1840.8353139710455,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
51,264,9979.927903404669,3.829450128095713,3.392803282151275,3.8481791487871577,3.4688986051528237,3.557589257869102,3.768422417087622,2.055246239092102,2.8384934984713324,2.981519193119941,2.9300967500476673,57.041138351679535,42.700772969211386,45.6594781674966,49.306670214529085,30.672792079378077,38.528153710330216,10.071009225001518,42.01892162638249,19.48502465127118,28.48465311073641,9979.927553026297,3.829448833700261,3.3928038095105393,3.8481812732007246,3.4688994163560185,3.5575877095826263,3.7684228243841655,2.0552462500042603,2.838489522575199,2.981521713624167,2.930097558744475,57.04116081247017,42.70070070319052,45.65942045647593,49.30673143523046,30.67286402628817,38.52836347656531,10.071009500415151,42.018892116028866,19.48497664225883,28.484684903392566,0.7249618163934933,39.51802292953771,83.26202316703142,3.9280086069882008,37.73345695847519,669.9322819764383,461.97611795302697,6.9993173621850655,28.90745136685547,6.064678227731638,27.893122211953823,22.813526142133618,10.335368334749639,27.720132568671055,8.219379766243113,39.12736833319564,1.6470998680065954,39.58622930419562,13.513270884689543,12.000235991347953,12.148184191480313,6.2711514172814296,24.636154739811946,6.436738285512101,7.0321916926562125,1.9800698689234266,23.24153547144498,11.0046749907244,3310.155488729477,270.0,5670.0,21050.6896882494,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
50,275,9956.161256055128,3.829088523196105,3.3912114033578113,3.843164604932407,3.4552069193877957,3.359947530244141,3.827797304913495,2.058871782727188,2.843872410913702,2.978073524846143,2.9302522554910615,56.96990211239722,42.73380115509816,45.64415878835385,50.38860954344937,37.081482532776434,35.22185564047649,10.042862481307804,42.11719251663576,20.02233856717037,28.50129714391471,9956.161248469041,3.8290897409942675,3.391211615015984,3.843165544328861,3.4552063925941905,3.359949713409605,3.827794904808556,2.058872179108931,2.8438733911332923,2.9780711598853387,2.9302522093003978,56.96984301819901,42.73381597568653,45.644067915816535,50.38857188283859,37.081498096669435,35.221707167255296,10.042882285710869,42.117155049054794,20.022462037410115,28.50128844916945,0.7150569352862094,39.19453173760625,81.8206383102237,3.930359403961137,34.34991268544525,673.8730636106673,462.4329442052491,7.148008726613234,28.23227118034491,5.811808042136571,28.024269329123946,22.056835849124877,11.178712715091955,24.393077151250445,10.08172143284253,37.69523642661039,2.021305409936179,46.835461631783794,20.576225438214564,11.388065570687942,11.027071698564246,12.834098375219135,15.122554588148267,9.124785481724592,6.48373704739674,2.4901665864074323,15.58231992117521,13.436996744900489,3525.2695033550262,280.0,5880.0,3691.456790123457,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
