sigma_C1,sigma_F1,epsilon_C1,epsilon_F1,temperature
0.5458615677215816,0.44330381529221213,0.08513183939400017,0.8204655928330518,1.0
0.7225271062668855,0.45666780504899906,0.32287396659261436,0.48440135347352775,0.5
0.17248541043832058,0.45702693430274766,0.5322838437810465,0.9041791807823415,0.5
0.4250745892078796,0.44955557636834,0.1720225394623804,0.8506182468046847,0.25
0.7225271062668855,0.45666780504899906,0.32287396659261436,0.48440135347352775,0.0
0.7138085104286905,0.46263277930880103,0.27407695687810374,0.5510037184806309,0.5
0.13548177330617306,0.4553080812926887,0.6883095830616132,0.8902134410414829,0.25
0.42327617350778407,0.4750449521714641,0.4097258959626102,0.7637706007417344,1.0
0.44560680951988774,0.47130854829839325,0.509259043787364,0.6532065658903079,0.75
0.742353270986376,0.46212521587705463,0.3226306401879711,0.47112721731769475,0.25
0.5458615677215816,0.44330381529221213,0.08513183939400017,0.8204655928330518,0.5
0.5915220385890637,0.4619809039505875,0.36759559643061346,0.5794001008912721,1.0
0.3247406808873081,0.4442055847151057,0.1772223237924397,0.9391174029408238,0.75
0.49686620995439706,0.4664193332270385,0.44076993733879144,0.6259575670144408,0.25
0.4344383990092295,0.48135224888418554,0.7293562219255995,0.580150070339671,0.25
0.10810925202911355,0.4626629114624677,0.838342385151999,0.8982257272206905,1.0
0.4344383990092295,0.48135224888418554,0.7293562219255995,0.580150070339671,0.0
0.6461190844174302,0.4460087398551856,0.14185761933767924,0.6889647171000258,0.75
0.17248541043832058,0.45702693430274766,0.5322838437810465,0.9041791807823415,0.25
0.6461190844174302,0.4460087398551856,0.14185761933767924,0.6889647171000258,0.25
0.7961070867629476,0.4563333144666242,0.3035065279306013,0.4349343524096627,1.0
0.2124466968452861,0.4716894746994806,0.997422338213931,0.7704044000162064,0.0
0.4344383990092295,0.48135224888418554,0.7293562219255995,0.580150070339671,0.5
0.22861513172648107,0.470279318416111,0.9370694826293734,0.757165097690593,0.0
0.4712380341726076,0.4456459860246916,0.1463277816493458,0.831899658893075,0.5
0.1665290733128036,0.449534561404205,0.6439289890275263,0.8717354457056489,0.75
0.32194693182289114,0.467739484182335,0.48451633433665336,0.814183884402926,0.25
0.7138085104286905,0.46263277930880103,0.27407695687810374,0.5510037184806309,0.25
0.742353270986376,0.46212521587705463,0.3226306401879711,0.47112721731769475,1.0
0.480429494110846,0.463275458719933,0.24072495092876445,0.7944642473152844,0.5
0.5458615677215816,0.44330381529221213,0.08513183939400017,0.8204655928330518,0.75
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,0.25
0.4147800693635996,0.47037149111388554,0.5915243133046226,0.6376858932149158,1.0
0.18188393635578715,0.4501320973553176,0.3460647535407123,0.9791982201872851,0.25
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,0.0
0.49686620995439706,0.4664193332270385,0.44076993733879144,0.6259575670144408,0.75
0.13548177330617306,0.4553080812926887,0.6883095830616132,0.8902134410414829,0.5
0.4147800693635996,0.47037149111388554,0.5915243133046226,0.6376858932149158,0.75
0.2671878361187806,0.4523930378392695,0.3812091813378184,0.8821654252943878,0.75
0.15194667088290606,0.460375584456524,0.6060924782558494,0.9331366777300126,0.75
0.06529958461737109,0.44177165301630617,0.6906491485796944,0.9373992763416236,0.0
0.737149994588384,0.4441101754907111,0.1095085170091052,0.6367713384587463,0.75
0.17248541043832058,0.45702693430274766,0.5322838437810465,0.9041791807823415,0.75
0.6549897135750545,0.4652096956154971,0.4177190438263882,0.47994238982696963,1.0
0.17248541043832058,0.45702693430274766,0.5322838437810465,0.9041791807823415,1.0
0.08175079094685206,0.46137318565434254,0.7768570339636078,0.9272604961461576,0.5
0.3539355899691625,0.4663807974110422,0.5761421602755954,0.7105591827919971,0.0
0.2124466968452861,0.4716894746994806,0.997422338213931,0.7704044000162064,0.5
0.7225271062668855,0.45666780504899906,0.32287396659261436,0.48440135347352775,0.25
0.4712380341726076,0.4456459860246916,0.1463277816493458,0.831899658893075,0.75
0.3539355899691625,0.4663807974110422,0.5761421602755954,0.7105591827919971,0.5
0.5065780316309306,0.45293805912027907,0.23627359319439614,0.7418372323889142,0.5
0.6148172881472765,0.4692707011957946,0.5389823524854961,0.44705987370523204,0.5
0.4712380341726076,0.4456459860246916,0.1463277816493458,0.831899658893075,1.0
0.15194667088290606,0.460375584456524,0.6060924782558494,0.9331366777300126,1.0
0.7225271062668855,0.45666780504899906,0.32287396659261436,0.48440135347352775,1.0
0.4250745892078796,0.44955557636834,0.1720225394623804,0.8506182468046847,0.75
0.32194693182289114,0.467739484182335,0.48451633433665336,0.814183884402926,0.0
0.14121268139687504,0.4681725122431642,0.8206564408103126,0.8802810491966868,0.25
0.6716250414582677,0.47821450589800213,0.46028006055299925,0.459540868063544,0.25
0.6549897135750545,0.4652096956154971,0.4177190438263882,0.47994238982696963,0.0
