Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
18,51,218.64842567039375,2.7800154282824923,3.230343429545439,2.605836969800113,2.90169142603545,3.8523628534129073,2.987798049040168,35.666914840031076,61.32756777354717,7.936678848350891,22.90346815226666,19.727770531635596,34.56919151863801,218.64841033801508,2.7800154282824923,3.2303484103075424,2.6058344360222923,2.9016902596140115,3.8523628534129073,2.9878033669614195,35.666914840031076,61.32768372186779,7.936652518702289,22.90339936048429,19.727770531635596,34.568953017427255,0.06237182973620337,3.647628218021339,4.5776640524755585,9.57190652021346,65.13259434700012,58.0,754.0,60.9679722888356,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
19,70,345.65817232586573,2.0430496105483957,3.331209785838052,2.4163680926438085,2.7563810118894128,2.3523925111501103,3.0502560150602784,18.514794912709604,47.72884699634214,5.09116327624296,31.081271093887572,35.370496298147806,36.0555021604271,345.6581707269942,2.0430496105483957,3.33121222549413,2.4163647839145677,2.756386467181194,2.3523925111501103,3.050255493543643,18.514794912709604,47.72863543874393,5.091119893046017,31.08124980674287,35.370496298147806,36.05557803608362,0.1531973532366691,2.567491032805094,6.844884667558597,24.578378837192513,91.3213882446289,80.0,1040.0,135.3418953725908,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,87,324.8803015003783,3.3817938350338475,3.593104687622066,2.356000450199211,3.327715385697763,3.8651909260743267,2.8361650578146214,14.290011226934064,49.789850525432925,4.73937908503145,22.251053514424626,39.90336655199651,26.22941965183576,324.8802936288648,3.3817938350338475,3.593100303780356,2.356000562181721,3.327709211915824,3.8651909260743267,2.836170681682707,14.290011226934064,49.789825672229576,4.739366319925077,22.251232985834502,39.90336655199651,26.229591120932753,0.12885844002804372,19.30343072481112,23.196715368626098,1.8138166365919588,105.46022152900696,95.0,1235.0,217.79269917399415,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,76,218.64839578801767,3.12206043851142,3.2303496165053884,2.605175825519007,2.9015088188803744,3.614210391237558,2.9879605680781647,66.13022054636288,61.31811837972109,7.938655521938866,22.887524100707672,17.09711913292741,34.570380808312585,218.64836493850845,3.12206043851142,3.2303627185263437,2.6051644124088695,2.901486675940077,3.614210391237558,2.987940502531918,66.13022054636288,61.318471595497776,7.938702175936763,22.887238243195238,17.09711913292741,34.57051727386189,0.06138521256285262,3.673224755152792,4.610297674882844,9.545717308413828,116.31921935081482,104.0,1352.0,37.80314415134559,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,88,324.8908725932576,3.752778304592076,3.593620282504938,2.35365173623902,3.327243595323557,2.3396608391291376,2.8362343730792823,16.392544199148258,49.777837577150954,4.702014505805338,22.3033745662938,39.21569898826657,26.21642480217745,324.8908679067044,3.752778304592076,3.593622504052993,2.3536415058811424,3.3272502559581514,2.3396608391291376,2.8362339949550837,16.392544199148258,49.77762905537136,4.702037046831768,22.30333998742364,39.21569898826657,26.216480071643844,0.11660872410394674,19.363849375328243,23.283706854630644,1.7648168933486539,174.69422698020935,96.0,1248.0,340.23284483524293,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,93,218.64813736839295,2.0891037570895232,3.2301145711375345,2.605221016946266,2.9022073269275372,3.1194339641082847,2.987916593306867,14.678328179816642,61.327375321342174,7.941463105279995,22.903096468970038,23.831401059961323,34.572987057057766,218.64808881240717,2.0891037570895232,3.2301308074768564,2.605218466015943,2.902234406949157,3.1194339641082847,2.9879372851845174,14.678328179816642,61.32607889622417,7.941347990454196,22.90350824380084,23.831401059961323,34.57281293790661,0.06452878328795003,3.6487080613301326,4.585015189447217,9.568257383124127,191.013662815094,102.0,1326.0,48.541433519850784,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,54,218.6469155884656,2.3908589622186374,3.2303125056658994,2.605102208833055,2.9030987524334453,2.479695518295172,2.987919890414497,50.297121694789695,61.33166952879824,7.943230769189128,22.882076057692043,17.45077503017278,34.567919998919606,218.64691361307854,2.3908589622186374,3.230311791807552,2.6051012023411735,2.9030984003702267,2.479695518295172,2.987919924161475,50.297121694789695,61.331667253296985,7.943223587235391,22.882161433274554,17.45077503017278,34.56792099141345,0.06760501900132795,3.625831771114616,4.595943785887817,9.570530282382848,114.63156604766846,61.0,793.0,83.66071587174704,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,101,218.6467935785809,2.0397602676795907,3.2302487283530725,2.605760714846008,2.902290284261027,3.720055897365776,2.9877948748275163,45.933428614574794,61.339405457324986,7.943225396096755,22.884799612887836,35.501574501040075,34.56983329880843,218.6467935785809,2.0397602676795907,3.2302487283530725,2.605760714846008,2.902290284261027,3.720055897365776,2.9877948748275163,45.933428614574794,61.339405457324986,7.943225396096755,22.884799612887836,35.501574501040075,34.56983329880843,0.06498571173907573,3.6426248415452456,4.5979836371895,9.560053496752365,236.16556978225708,112.0,1456.0,28.8443378630429,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,78,324.8778503012067,3.2594350140431283,3.593040500574714,2.357519841267627,3.325476798375507,2.5206301971570815,2.835906184688401,22.573228370516308,49.76833642457226,4.733596671546945,22.229146938198003,24.215386967048882,26.269451349215174,324.8778481075265,3.2594350140431283,3.593040199585766,2.3575171355211895,3.3254784243641797,2.5206301971570815,2.835905487600057,22.573228370516308,49.76831513729912,4.733630084864073,22.229175904162712,24.215386967048882,26.269434802490114,0.1060065519449098,19.43877047960499,23.042706560716013,1.805171632850838,154.96125173568726,83.0,1079.0,119.73667288391509,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
20,86,345.6332269755892,3.6894688907844433,3.3309312122671075,2.4126190135662924,2.7572296430026757,3.5972071823040785,3.0517618304869076,41.866478970295304,47.70234462847061,5.107331153643809,30.992805447302032,30.17867221463104,36.0677938994516,345.6332076237421,3.6894688907844433,3.3309408838646752,2.412559902281978,2.757278500648446,3.5972071823040785,3.051737856752821,41.866478970295304,47.7018868294084,5.1072020762980195,30.993731412242568,30.17867221463104,36.06753936112867,0.13155293168317492,2.5268630391742652,6.945365769730052,24.7458229333725,107.3652834892273,95.0,1235.0,114.23820943245404,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,98,345.644718208145,2.834044009405148,3.331818581602748,2.410849907505193,2.760187619405801,2.293511781634226,3.051275043211819,22.106913739548613,47.64337998244956,5.099959776083394,30.96888585103155,29.67180800411532,36.0767935476691,345.64471820599374,2.834044009405148,3.331818591268772,2.4108499028020813,2.760187587995529,2.293511781634226,3.0512750582905275,22.106913739548613,47.64337994966226,5.0999595547068655,30.968885852831573,29.67180800411532,36.07679338053347,0.13032689683464765,2.5441203195779463,6.955544119241229,24.738043621287062,203.2295117378235,104.0,1352.0,80.30155431210586,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,100,345.6353742827026,2.4089044994630346,3.331133420542087,2.4122138169338077,2.75891309305514,2.834609604734254,3.0514796914229656,19.1251510086902,47.68670802746614,5.10055602936123,30.991730272854287,25.969846235573502,36.07830058065371,345.6353668602566,2.4089044994630346,3.331132420221553,2.41221912332226,2.758921255988625,2.834609604734254,3.051479134228143,19.1251510086902,47.68684363490951,5.1005597648344505,30.99164627163983,25.969846235573502,36.07827995701685,0.12930627962604524,2.49529138340732,6.982302301821692,24.775389805335582,210.7630500793457,108.0,1404.0,94.16111555200284,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,69,218.64657340522447,2.2046688576556512,3.230339257258011,2.605465589412148,2.903082648976582,2.099906917892174,2.987805091613253,53.146651939286286,61.32592651389175,7.9430573392754384,22.886347996953024,46.61906703507593,34.57197242204967,218.6465724625035,2.2046688576556512,3.230340608013535,2.605466589857801,2.903083550844734,2.099906917892174,2.9878043013956606,53.146651939286286,61.325900444405406,7.943017394807629,22.886346308937846,46.61906703507593,34.571970141768716,0.0681083381384743,3.6272141791025936,4.5794539594129615,9.57413225203503,141.8494746685028,76.0,988.0,34.5471581827813,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,52,218.64641177286,3.2126589233066607,3.2303847801664998,2.6057956441006898,2.9030582715748343,3.159490438491593,2.9876834122269615,45.8116342426633,61.33156923502936,7.9408547845618065,22.878661513033954,17.321719204995457,34.574328088579584,218.64640934606084,3.2126589233066607,3.230384008014937,2.60579475692241,2.9030554512056184,3.159490438491593,2.9876839085388136,45.8116342426633,61.331539680442724,7.9408482752232485,22.878787727225355,17.321719204995457,34.5743284056917,0.06705745084426173,3.6120606714350405,4.571083846674102,9.576316657177482,67.38724660873413,62.0,806.0,66.00998312461142,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,64,345.6251235123928,3.8067590411245074,3.328672622599949,2.4155995745266625,2.7541778276294027,2.653289803544192,3.052060492748876,67.58623645520036,47.87887279618075,5.132141455074928,30.98719638970891,15.553743499629471,36.03765857121227,345.62511790242615,3.8067590411245074,3.328675385288787,2.4155961240510244,2.7541743170363158,2.653289803544192,3.052061042090836,67.58623645520036,47.87877004890021,5.13217108844009,30.987183458436604,15.553743499629471,36.03762985199738,0.13802868120057876,2.5854787494230838,6.970020003658249,24.66616655631191,139.55136561393738,71.0,923.0,101.65648814281907,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,71,324.883702006304,2.5398557835300517,3.593595429003525,2.358996356447753,3.3254614560484312,3.326882995636896,2.835828553943897,17.45848824196939,49.75225355683535,4.729251636907631,22.24489580044182,29.284788096644842,26.262200474448225,324.88369520552027,2.5398557835300517,3.5935955649682176,2.3589957377573216,3.3254630801059055,3.326882995636896,2.835828029987714,17.45848824196939,49.75223776619105,4.7292574925605395,22.244893718274653,29.284788096644842,26.262205657631736,0.1155905170049083,19.347975266115245,22.853313720779244,1.8243979617874124,149.75757932662964,77.0,1001.0,621.7396216360245,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,90,345.62382776333465,2.5755506771726973,3.3293684950465425,2.415844711055964,2.7554892804994884,2.4232562320001176,3.051378494570047,41.952255353222,47.85676015745645,5.121197864711001,30.985989118932135,35.62569379161495,36.036042961367905,345.62382491983396,2.5755506771726973,3.3293694026679717,2.41584591400759,2.755472311012783,2.4232562320001176,3.051385039763753,41.952255353222,47.85685804392601,5.12116355256999,30.98607861747475,35.62569379161495,36.035857012029034,0.14256485960398452,2.6131824908896233,6.948304238959396,24.59095291002827,225.62857174873352,96.0,1248.0,53.84947153388401,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,88,218.64663354069071,3.4701319265773387,3.2303136537156716,2.6057115114963016,2.9022165378880644,2.027903145951194,2.987734781652302,50.09059320510776,61.331316800695944,7.941632328060806,22.883177509827963,47.04622224181961,34.57183718869029,218.646631188503,3.4701319265773387,3.230314585143528,2.60571850903065,2.9022160202787046,2.027903145951194,2.987735721385105,50.09059320510776,61.33121970672737,7.9415958792371875,22.88313536710826,47.04622224181961,34.57194159742116,0.06374530446999047,3.649545230900526,4.602627730099767,9.552867894678686,106.8839385509491,96.0,1248.0,74.31310063060663,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
4,88,324.8804381842711,3.373001855363167,3.593796039145275,2.354949055514378,3.33022781850739,3.977722177812989,2.8350829594914035,28.22885948418634,49.67214332985232,4.751073575641309,22.261691268087933,46.80084260825835,26.2927299475346,324.8804379028457,3.373001855363167,3.5937956302995353,2.3549485338631246,3.330227458100837,3.977722177812989,2.835083684771597,28.22885948418634,49.67214997392362,4.751072908680831,22.261682795337578,46.80084260825835,26.292745432926754,0.14753423534444698,19.500372064477766,23.171794512081593,1.7873195654438487,111.47215485572815,98.0,1274.0,49.08258282263078,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,90,324.870875778243,2.278552694501517,3.593536651473151,2.3566315126883826,3.3280746239739596,3.8550171607920674,2.8354282068423147,58.802786703850124,49.75876241537272,4.73088225226749,22.24867256665697,41.2829851909568,26.25154764134978,324.870875778243,2.278552694501517,3.593536651473151,2.3566315126883826,3.3280746239739596,3.8550171607920674,2.8354282068423147,58.802786703850124,49.75876241537272,4.73088225226749,22.24867256665697,41.2829851909568,26.25154764134978,0.12546064993524708,19.23695873576122,23.107269683600276,1.7956280559441409,214.0179328918457,112.0,1456.0,45.359907629451996,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
