,Unnamed: 0,molecule,temperature,restart,sim_liq_density,sim_vap_density,Hvap,sim_Pvap,liq_enthalpy,vap_enthalpy,sim_Hvap,sim_Tc,sim_rhoc
0,0,R116,190,1,1707.12086704,2.34175315496,18.86955259968007,0.264360186025,79809.6803717,6767.57947555,136.72417768043394,325.6910770894762,614.0520866061838
1,1,R116,190,2,1705.8263081,2.8826975476,18.78725142298701,0.324476752203,78513.55592890001,8331.170398170001,136.12784341940426,325.6910770894762,614.0520866061838
2,2,R116,190,3,1706.68969992,3.47127543227,18.78588370417369,0.388918091174,77071.5399004,10036.48626026,136.11793326233715,325.6910770894762,614.0520866061838
3,3,R116,210,1,1629.01039899,9.53903079854,17.688855977314233,1.153780452297,78082.3804477,10627.443842760003,128.16913781235718,325.6910770894762,614.0520866061838
4,4,R116,210,2,1627.1550865000002,8.49644108951,17.725988622663596,1.0337536575689998,79076.722152,9460.33745551,128.43819190750182,325.6910770894762,614.0520866061838
5,5,R116,210,3,1628.34295266,9.0456071584,17.7192413797304,1.095773782841,78558.23502000001,10067.71439214,128.38930303020712,325.6910770894762,614.0520866061838
6,6,R116,230,1,1545.14193738,19.643796426500003,16.500257591085607,2.5173054627,80315.469987,9866.25696482,119.55684368980575,325.6910770894762,614.0520866061838
7,7,R116,230,2,1547.3935224200002,21.0787766746,16.50355868569338,2.6897552007700005,79677.19273299999,10570.75750538,119.58076261651632,325.6910770894762,614.0520866061838
8,8,R116,230,3,1547.06995367,18.6751104438,16.5408178726842,2.39923517609,80730.3830951,9377.66619557,119.85073360154371,325.6910770894762,614.0520866061838
9,9,R116,250,1,1454.03562987,39.0591542875,15.124449005765593,5.185941541370001,82029.34945499999,9624.6836509,109.58807010707919,325.6910770894762,614.0520866061838
10,10,R116,250,2,1454.4693138599998,37.7518050102,15.192483102521413,5.032960151679999,82327.9077097,9284.64608039,110.08102858524302,325.6910770894762,614.0520866061838
11,11,R116,250,3,1456.86447129,39.3479720807,15.12073247825728,5.19442958755,81965.5136714,9676.30803424,109.56114105485516,325.6910770894762,614.0520866061838
12,12,R116,270,1,1353.6719641200002,74.84020773840001,13.414484251763188,9.807357744732,84161.0866656,9070.225397640002,97.19808239441511,325.6910770894762,614.0520866061838
13,13,R116,270,2,1353.42140326,74.4943621908,13.403242866112157,9.72269462875,84160.14850499999,9059.58272383,97.11663005467327,325.6910770894762,614.0520866061838
14,14,R116,270,3,1351.088272,74.00983223630001,13.424663935327803,9.723556310086,84208.07238419999,9024.92283498,97.27184189968514,325.6910770894762,614.0520866061838
15,15,R125,229,1,1513.78626485,7.12373383606,20.045023751880585,1.087504589243,42650.8796664,11757.0246748,167.01402892751696,345.84432477275783,576.5218562117601
16,16,R125,229,2,1513.14448542,7.30342719968,20.037240475939925,1.1137526535159998,42418.003124300005,12055.177005280002,166.9491791029822,345.84432477275783,576.5218562117601
17,17,R125,229,3,1513.02389382,7.060525128739999,,1.10978169458689,51510.470689,124.7078829054,,345.84432477275783,576.5218562117601
18,18,R125,249,1,1440.47407761,16.8014391539,18.660165724132067,2.6788662540700003,43683.3899438,12360.4651167,155.47546845635785,345.84432477275783,576.5218562117601
19,19,R125,249,2,1439.9414813500002,16.4504233143,18.646071882999973,2.631447426,43894.9468391,12097.53109947,155.35803935177447,345.84432477275783,576.5218562117601
20,20,R125,249,3,1440.3169339,18.4631064309,18.599283017053203,2.92835570374,42726.9325929,13573.8748325,154.96819710925848,345.84432477275783,576.5218562117601
21,21,R125,269,1,1355.82433067,34.1803378643,16.996716588884635,5.5724548282,45152.2052133,12551.35687923,141.61570229032358,345.84432477275783,576.5218562117601
22,22,R125,269,2,1357.5844665999998,34.6064661134,17.04658739627387,5.63566052968,44954.7098767,12757.28759033,142.03122309843252,345.84432477275783,576.5218562117601
23,23,R125,269,3,1356.95782341,34.067501926000006,17.017749057650953,5.55888398325,45133.8179663,12563.22548841,141.79094365648186,345.84432477275783,576.5218562117601
24,24,R125,289,1,1263.52059255,64.6895103457,15.057759262963865,10.42210079543,46472.7790512,12890.0863849,125.46041712184524,345.84432477275783,576.5218562117601
25,25,R125,289,2,1265.33712999,64.6785505004,15.086112017405824,10.42568776026,46527.1784363,12801.44246702,125.69665070326467,345.84432477275783,576.5218562117601
26,26,R125,289,3,1260.98792447,65.3596550862,15.035931558826071,10.52490708113,46465.142528300006,12913.915572659998,125.2785498985675,345.84432477275783,576.5218562117601
27,27,R125,309,1,1152.58904359,113.7017864176,12.709983899759996,17.671833880249,48673.6184173,12320.56434448,105.89888268421927,345.84432477275783,576.5218562117601
28,28,R125,309,2,1156.70665251,118.9960495048,12.653465133706892,17.934582301481104,48043.5114641,12982.52900979,105.42797145231538,345.84432477275783,576.5218562117601
29,29,R125,309,3,1156.94539967,116.497341231,12.72039053201242,17.950097153505,48224.6118213,12788.59462885,105.98559016840876,345.84432477275783,576.5218562117601
45,45,R134a,240,1,1412.29308104,4.05826652166,22.81386924482765,0.7690648789340001,-1161.2858464848464,3550.74631581,223.597647818726,375.5854255821985,514.471744474902
46,46,R134a,240,2,1413.40447184,4.152909311060001,22.79247028472189,0.785107473153,-1151.3107167220055,3630.51183127,223.38791762810962,375.5854255821985,514.471744474902
47,47,R134a,240,3,1412.0832099200002,4.22172722251,22.771148959293267,0.7992522182289999,-1130.82989683168,3690.88944007,223.17894833127284,375.5854255821985,514.471744474902
48,48,R134a,260,1,1350.12355474,10.10046784517,21.381008796267693,2.00212522348,167.053023376502,3929.38594931,209.554250685505,375.5854255821985,514.471744474902
49,49,R134a,260,2,1347.48962284,9.70620809652,21.39097138451965,1.93274181083,183.9728716859032,3782.3382991,209.6518935393067,375.5854255821985,514.471744474902
50,50,R134a,260,3,1349.7638229600002,9.59715583252,21.44901178092292,1.910253611,155.115376793014,3740.50023195,210.22074470501505,375.5854255821985,514.471744474902
51,51,R134a,280,1,1284.3497016600002,20.0431712421,19.853619571236205,4.114777843430001,1570.20511918437,3937.28415423,194.5843815083098,375.5854255821985,514.471744474902
52,52,R134a,280,2,1281.93847749,19.0612730194,19.900228490283567,3.93590302445,1604.95066265166,3747.80539852,195.0411933079446,375.5854255821985,514.471744474902
