Run,Iter,Min Obj,sigma_C1_min,sigma_C2_F0_min,sigma_C2_Fx_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_F0_min,epsilon_C2_Fx_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_F0_cum,sigma_C2_Fx_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_F0_cum,epsilon_C2_Fx_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R14-sim_liq_density-wt,R14-sim_vap_density-wt,R14-sim_Pvap-wt,R14-sim_Hvap-wt,Run Time,jac evals,func evals,Optimality,Term Status,Message
1,119,312.15731541656436,2.622122821338588,3.440648986884316,2.0002287496346898,1.9534988589477595,2.293511781634226,2.1846771895375956,2.9261343416786967,47.413502553056965,35.789885824993554,45.023087710218206,5.353556115226359,38.98268251388659,22.155828740603113,41.572556767550616,312.15731541656436,2.622122821338588,3.440648986884316,2.0002287496346898,1.9534988589477595,2.293511781634226,2.1846771895375956,2.9261343416786967,47.413502553056965,35.789885824993554,45.023087710218206,5.353556115226359,38.98268251388659,22.155828740603113,41.572556767550616,0.1527372333645982,174.18531012919152,101.33355369949041,36.4857143545178,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,463.38386631011963,400.0,6000.0,11354.213908872902,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
17,73,317.88795318871865,2.6172407599828666,3.8802149646667337,3.16402835989416,2.8182479766177657,3.6894688907844433,3.8107846374172984,2.9261380929246745,47.600870746146356,61.90923342488258,28.571725362719597,5.922028180959422,35.96886076760575,15.54366464427925,41.624650349688835,317.73804669816764,2.617228911819345,3.8802149646667337,3.16402835989416,2.8182479766177657,3.6894688907844433,3.8107846374172984,2.926133262744533,47.59920568656748,61.90923342488258,28.571725362719597,5.922028180959422,35.96886076760575,15.54366464427925,41.62580018964762,0.15717868989699543,180.03746518815672,100.84554640966078,36.84776290100416,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,136.7379379272461,118.0,1770.0,22038.78284039435,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,202,544.1187515914329,2.632214332757781,3.4876517081501857,2.3908589622186374,2.3720383909098866,3.940039978176624,3.6936576029800703,2.9313788494812747,51.424226105597015,50.297121694789695,63.883758470761634,3.2543311571686746,15.650167076209334,17.45077503017278,40.5971907882868,544.1187515914329,2.632214332757781,3.4876517081501857,2.3908589622186374,2.3720383909098866,3.940039978176624,3.6936576029800703,2.9313788494812747,51.424226105597015,50.297121694789695,63.883758470761634,3.2543311571686746,15.650167076209334,17.45077503017278,40.5971907882868,0.18648593064708802,177.4173584836383,328.5704713841835,37.94443579296398,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,1000.4003567695618,864.0,12960.0,59038.87052136069,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,338,632.5381201130147,2.6143399440598563,3.7917724363921335,2.8561823797425894,2.947260070722578,3.326882995636896,3.2433914404182436,2.9311506681290562,52.033515264283004,39.24428867619614,47.595324935163575,5.26509442209025,23.29594430850597,46.61828321967889,40.827498002843726,632.3491611191098,2.614325614946917,3.7917724363921335,2.8561823797425894,2.947260070722578,3.326882995636896,3.2433914404182436,2.9311446195493627,52.03146905223913,39.24428867619614,47.595324935163575,5.26509442209025,23.29594430850597,46.61828321967889,40.82840039963616,0.18382032269408483,217.550631860632,374.32851570941966,40.47515222026887,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,533.8517227172852,460.0,6900.0,79032.08398614441,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,32,719.4107322415492,2.677419720378318,3.756285006858826,2.1966936676661,2.131661437507578,3.9157790603010034,3.066330569946034,2.9209622530036845,42.27662970763596,54.622560299302954,64.25066867332926,2.1463062187535344,41.25505102307387,49.61013811172732,41.65643445076951,719.312203696065,2.677423998949971,3.756285006858826,2.1966936676661,2.131661437507578,3.9157790603010034,3.066330569946034,2.9209554378192752,42.27683356629075,54.622560299302954,64.25066867332926,2.1463062187535344,41.25505102307387,49.61013811172732,41.65660281236481,0.08439116383589512,239.24055061287393,449.4839605206816,30.601829944157735,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,71.78037548065186,62.0,930.0,107257.26973976374,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
15,119,1013.1374605063247,2.631729945194711,2.468724172242841,3.2335567140033152,2.923524481031424,3.9003522384941594,3.1133063763903124,2.913643322852793,39.24774475605705,35.350501419181015,41.589393361299145,6.834483863359788,34.2341772527997,47.41634993472588,43.120666063498724,1013.1374605063247,2.631729945194711,2.468724172242841,3.2335567140033152,2.923524481031424,3.9003522384941594,3.1133063763903124,2.913643322852793,39.24774475605705,35.350501419181015,41.589393361299145,6.834483863359788,34.2341772527997,47.41634993472588,43.120666063498724,0.1158625731239766,379.85566974805096,605.3074900364171,27.858438148732596,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,281.85758447647095,243.0,3645.0,124673.34605204726,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
11,53,1018.7217089673987,2.639504901413105,2.27291045132137,2.119835379024423,1.6820151836111061,2.0891037570895232,2.2149882582121854,2.934413775877209,54.78949794212084,46.381603833519264,10.816138710342532,2.575794237515894,48.85467155000953,34.88351616719798,39.817040093846195,1018.7209435225063,2.639505502093063,2.27291045132137,2.119835379024423,1.6820151836111061,2.0891037570895232,2.2149882582121854,2.9344123485427263,54.78947717930461,46.381603833519264,10.816138710342532,2.575794237515894,48.85467155000953,34.88351616719798,39.817016186404736,0.16364510362551965,200.51934449355775,779.5663577143932,38.472361655822326,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,152.99216175079346,132.0,1980.0,67537.25083932854,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,429,1540.8579620009941,2.645685936676138,3.1377028741729625,2.634724818644321,2.9829242316186733,3.159490438491593,2.7602823452471004,2.9357713041998164,56.78110404846703,53.50013807445701,27.219771248082616,2.5306786754275326,27.95294692699372,37.04011274575476,39.325688745419065,1540.8579620009941,2.645685936676138,3.1377028741729625,2.634724818644321,2.9829242316186733,3.159490438491593,2.7602823452471004,2.9357713041998164,56.78110404846703,53.50013807445701,27.219771248082616,2.5306786754275326,27.95294692699372,37.04011274575476,39.325688745419065,0.13543449373134292,232.898961302864,1269.153505511542,38.670060692856666,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,1162.6721754074097,1003.0,15045.0,103616.21714184208,1.0,STOP: TOTAL NO. of f AND g EVALUATIONS EXCEEDS LIMIT
2,172,2024.4220991004668,2.6338613258232133,3.3409350203568042,2.834609604734254,2.3380347426686274,2.2807738771904673,2.3962029781697574,2.936249720532027,58.02829056375591,30.372571580350794,55.00097001850543,9.011113218368308,46.31123322263466,17.97654739794223,39.35383525041778,2024.4220991004668,2.6338613258232133,3.3409350203568042,2.834609604734254,2.3380347426686274,2.2807738771904673,2.3962029781697574,2.936249720532027,58.02829056375591,30.372571580350794,55.00097001850543,9.011113218368308,46.31123322263466,17.97654739794223,39.35383525041778,0.10296056937600782,343.09121474647407,1637.7396113208774,43.488312463739206,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,288.75778436660767,249.0,3735.0,755592.4014566125,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,268,3339.8926823006627,2.659860454581862,3.926525056881424,2.3479113333609285,1.6894942791594558,2.2701583160934624,3.011324331353793,2.9379125317305324,60.464714814124754,63.762505626097635,10.976233748237957,3.4095700446004424,26.622225102839295,19.584889568382092,38.39679684136858,3339.8066015771137,2.6598450682341124,3.926525056881424,2.3479113333609285,1.6894942791594558,2.2701583160934624,3.011324331353793,2.937919460485159,60.46469973238689,63.762505626097635,10.976233748237957,3.4095700446004424,26.622225102839295,19.584889568382092,38.396782558452216,0.09313537368469187,314.2702979899219,2982.27278024128,43.256468695776356,0.001900496702343045,2929.2580001305882,2114321.801636943,0.9000288870680488,447.12890672683716,386.0,5790.0,122030.15457855938,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
