Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R32-sim_liq_density-wt,R32-sim_vap_density-wt,R32-sim_Pvap-wt,R32-sim_Hvap-wt,Run Time,jac evals,Termination
3,1298,1.363748119120599,3.697580466465253,3.521512139329212,1.56227917804889,2.85980335554209,2.597384583217731,2.5678860900612674,69.82873472513393,39.90912169654345,2.0,33.48329440090209,42.99539144286418,40.433955725378745,1.363748119120599,3.697580466465253,3.521512139329212,1.56227917804889,2.85980335554209,2.597384583217731,2.5678860900612674,69.82873472513393,39.90912169654345,2.0,33.48329440090209,42.99539144286418,40.433955725378745,15.445908996290008,22.863810909158275,0.07731487322650538,27.79675621325972,0.02818767377858853,0.014993334358297444,3.08647831805843,0.01480628401624735,103.50264739990234,100,0
19,924,3.0372271377435456,3.553870828317562,3.6032936830701887,1.5,3.0036608721894327,3.0811396156962956,2.587413229271575,51.254182263539874,27.56715917446747,4.756463566336972,42.74314903923512,40.568574426904235,15.126889892256205,3.037227135183251,3.5538707850958695,3.6032936830701887,1.5,3.0036609970641033,3.0811396156962956,2.587413229271575,51.25418857836288,27.56715917446747,4.75646236483951,42.743146426506954,40.568574426904235,15.126889892256205,11.75513347494158,21.444177804360294,0.15768503613429383,37.511669945894546,0.037017692765338915,0.033317160513994734,4.201187522742773,0.03271819114961118,77.57970356941223,75,0
5,1416,3.037227154092992,3.553876021297142,3.775310874414406,1.5,3.003657739242362,2.6118303295777108,3.6401688098518536,51.25370335839616,36.08427240124477,4.756492344369152,42.743411582210804,46.01938323045373,26.47095566443832,3.0372271520241725,3.553876021297142,3.775310874414406,1.5,3.003657839242362,2.6118303295777108,3.6401688098518536,51.25370335839616,36.08427240124477,4.756492344369152,42.743411582210804,46.01938202773011,26.47095566443832,11.755742742986715,21.445240918993363,0.15769977312778766,37.51299768190652,0.03701624868002093,0.03331469688122281,4.201007239820968,0.03271645986449286,112.64627361297607,109,0
8,1456,3.0754487846492333,3.597901094041784,3.0222734330823653,1.5000351457385381,2.9548400440796767,3.863755115186013,2.4931518680138858,62.44013745349103,63.04197535587906,2.0,38.32650942585468,47.32803168854692,17.448930892092754,3.075444126293006,3.597901094041784,3.0222734330823653,1.5000351457385381,2.9548400440796767,3.863755115186013,2.4931518680138858,62.44013745349103,63.04197535587906,2.000001202723619,38.32650942585468,47.32803168854692,17.448929689369134,5.286644549869551,9.793423736137179,0.05941132236699428,22.696475362224948,0.06381493426616865,0.08255091781494453,7.130529775869907,0.06206607517311717,115.95965099334717,112,0
6,1349,3.635749241363908,3.7351798911625917,3.5949056789359624,2.771952616353455,2.447085289153809,3.6387124915091276,2.9352023808962313,57.363907607960215,39.94202044096487,9.926022222589523,29.28943658992113,20.879127570153493,21.2736265593809,3.6357492407710303,3.7351798782102112,3.5949056789359624,2.7719528799648314,2.447085061989903,3.6387124915091276,2.9352023808962313,57.36391503155857,39.94202044096487,9.926018513080965,29.28943813255961,20.879127570153493,21.2736265593809,16.501838047837087,25.029268271962376,0.1949502228307435,5.565056192746779,0.06945173103093111,0.054327870117078514,4.479902706699229,0.0724906260684914,107.63681364059448,104,0
16,1989,3.6357493408227586,3.7352059128829502,3.4038691810716903,2.7719586785576555,2.447040114478814,2.7914263859572905,3.9026181266710545,57.36106854491534,70.90917108592684,9.92650964468082,29.290419162453148,38.20052506951841,22.929994222857285,3.635749338187501,3.735205905595458,3.4038691810716903,2.771958789553902,2.4470401139449525,2.7914263859572905,3.9026181266710545,57.3610694280061,70.90917108592684,9.926509510349387,29.290418880658677,38.20052506951841,22.929993020133665,16.50698920427582,25.027405057659116,0.19506469480466157,5.571662187820206,0.06942567766971817,0.05431536306292632,4.477935561107616,0.07247191157857077,158.23387098312378,153,0
7,773,6.818367784963364,3.9900555636838577,2.7302244936839704,1.800919601635815,2.4060077835115674,3.268326253829485,3.6083566848902606,75.00000000000001,22.659626364369185,10.000000000000002,18.506993231200738,28.07323845276213,28.379756636996827,6.818367784470753,3.9900556636838576,2.7302244936839704,1.800919601635815,2.4060077835115674,3.268326153829485,3.6083566848902606,75.00000000000001,22.659626364369185,10.000000000000002,18.506993231200738,28.07323845276213,28.379756636996827,182.20417542270312,1062.6015378194431,2.1561102988645713,250.69871259079355,0.00503131326358013,0.0031691099242235838,0.3961052803945645,0.006881162601445336,62.161914110183716,60,0
11,505,37.06830663641747,2.6640965719699397,2.7266189108143504,1.5,2.8888741861684593,3.431637471244131,2.325661829493349,75.00000000000001,61.078830961461954,2.0,28.80228821728687,26.55740184713391,24.664627729933525,37.06830663638037,2.6640965719699397,2.7266189108143504,1.5,2.888874286168459,3.431637471244131,2.325661829493349,75.00000000000001,61.078830961461954,2.0,28.80228701456325,26.55740184713391,24.664627729933525,98718.80782245458,4258.682248742945,557.0332374140985,594.9374616739888,8.356777994750083e-05,0.0025319350166899865,0.026044946210451624,0.006067599306742408,40.3780403137207,39,0
20,395,37.06830663876882,2.6640844695728134,2.539434678726499,1.5,2.88886422663688,2.931373115513436,2.5257702966715145,75.00000000000001,66.94484885484476,2.0,28.80206625051482,33.36273059409131,16.524917007486113,37.068306638765186,2.6640844695728134,2.539434678726499,1.5,2.8888641266368795,2.931373115513436,2.5257702966715145,75.00000000000001,66.94484885484476,2.0,28.80206625051482,33.36273059409131,16.524917007486113,98724.02594236331,4258.896917912511,557.0551593816549,594.9191625756627,8.356336719830145e-05,0.002531897828681886,0.02604342410767177,0.006067598930944716,33.12045192718506,32,0
4,252,105.20098826487609,3.9999999999999996,2.5350436091641444,2.658296827599754,3.7064398399798772,2.773632868268571,2.8207083571456373,60.429160614425086,49.02400224983877,10.000000000000002,50.00000000000001,43.99113462756986,45.061131490888364,105.20098826467735,3.9999999999999996,2.5350436091641444,2.6582969275997543,3.706439739979877,2.773632868268571,2.8207083571456373,60.429160614425086,49.02400224983877,10.000000000000002,50.00000000000001,43.99113462756986,45.061131490888364,495608.647080679,780.7638021107,81.98319305161179,1853.616342371825,0.0001841688248374009,0.002282644768135155,0.012080343142390041,0.006082781720419837,20.73377537727356,20,0
