Run,Iter,Min Obj,sigma_C1_min,sigma_C2_min,sigma_H1_min,sigma_F_H2_min,sigma_F_H1_min,sigma_F_Hx_min,epsilon_C1_min,epsilon_C2_min,epsilon_H1_min,epsilon_F_H2_min,epsilon_F_H1_min,epsilon_F_Hx_min,Min Obj Cum.,sigma_C1_cum,sigma_C2_cum,sigma_H1_cum,sigma_F_H2_cum,sigma_F_H1_cum,sigma_F_Hx_cum,epsilon_C1_cum,epsilon_C2_cum,epsilon_H1_cum,epsilon_F_H2_cum,epsilon_F_H1_cum,epsilon_F_Hx_cum,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
20,64,171.67063295301847,3.6894688907844433,3.5379478633830512,2.906250057666695,3.092693632040746,3.5972071823040785,2.8404792103131857,41.866478970295304,44.700976265961394,8.242749532610075,35.7718492868823,30.17867221463104,28.956585233574,171.6705286439755,3.6894688907844433,3.5379485650484828,2.9062490826623337,3.092693632040746,3.5972071823040785,2.8404801975436333,41.866478970295304,44.700949366204156,8.24269408249441,35.7718492868823,30.17867221463104,28.9566529701816,5.934185716281139,4.538359676139839,11.452932882575348,22.455394564383905,83.46333932876587,70.0,910.0,5545.157474020783,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,97,108.20924475505053,3.2126589233066607,3.4596387307735066,2.0586165983249542,3.977232308824897,3.159490438491593,3.210606715558354,45.8116342426633,53.78150583291647,6.887208353175196,24.27218451819833,17.321719204995457,24.138453109464095,108.20923058177652,3.2126589233066607,3.459635793748717,2.0586174907812635,3.977232308824897,3.159490438491593,3.2106097540688614,45.8116342426633,53.78143197197599,6.887217892910297,24.27218451819833,17.321719204995457,24.13850644743357,0.08375752948002976,1.822598871467742,9.169545574583248,21.073886591706415,157.66858434677124,129.0,1677.0,225.83563162217666,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,69,111.1136729622761,2.278552694501517,3.488071178736409,2.0669204735361477,2.330708394233865,3.8550171607920674,3.199562153847711,58.802786703850124,51.402164527345185,7.2893049570863395,36.828527246946315,41.2829851909568,24.335658898691182,111.11366969439567,2.278552694501517,3.4880755802068086,2.066917491290731,2.330708394233865,3.8550171607920674,3.1995647712435673,58.802786703850124,51.40217771076363,7.289268238830123,36.828527246946315,41.2829851909568,24.335619776044265,0.179366186402341,2.0006652081345675,9.158465598078601,19.796582146519786,170.9859390258789,80.0,1040.0,586.0247624122924,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
8,112,109.07125608595314,2.5398557835300517,3.4452108404891755,2.0589336416744546,3.9296800942967707,3.326882995636896,3.2172903541103115,17.45848824196939,56.93522065672733,7.842657248591902,35.24363650354962,29.284788096644842,22.10078447363729,109.07124782049483,2.5398557835300517,3.4452110749993583,2.058935903875529,3.9296800942967707,3.326882995636896,3.21728979094007,17.45848824196939,56.93524417867146,7.842621934721224,35.24363650354962,29.284788096644842,22.1007814005022,0.08384885674571149,1.3777417175083095,9.088174232482022,23.27999320693406,241.97485065460205,118.0,1534.0,632.3309707789324,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,91,109.07002629999982,2.4089044994630346,3.4474222353456074,2.0901455759551744,3.3409350203568042,2.834609604734254,3.2069733166249232,19.1251510086902,53.56053014767981,6.720640372993202,48.889155150178915,25.969846235573502,24.819906526215117,109.07001464823907,2.4089044994630346,3.4474230002377197,2.0901480034393742,3.3409350203568042,2.834609604734254,3.20697269461174,19.1251510086902,53.56049147455063,6.72068511718065,48.889155150178915,25.969846235573502,24.81986716654262,0.14875600797361355,1.817302316774599,9.39556875371439,21.516995730475436,239.64088487625122,113.0,1469.0,532.1731592503775,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
12,238,109.24730281560025,3.12206043851142,3.4555926944702415,2.0801911295391355,2.4659485476820406,3.614210391237558,3.211846586043641,66.13022054636288,57.318826233214864,8.240932134709228,19.775932898123976,17.09711913292741,21.23986874181527,109.24729424622922,3.12206043851142,3.4555901970081226,2.080186949086655,2.4659485476820406,3.614210391237558,3.211845548435881,66.13022054636288,57.3188070276934,8.240997336194017,19.775932898123976,17.09711913292741,21.239884814636852,0.15606887978317996,1.1171167308817993,8.953107610940073,23.883926162971456,305.71039509773254,249.0,3237.0,764.6385647037926,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
13,61,112.0256653478524,2.0891037570895232,3.4440741077462524,2.1770974093269926,3.425977960765353,3.1194339641082847,3.190830210407791,14.678328179816642,54.89333593429444,7.831835048553824,22.115263213134668,23.831401059961323,23.31833243691232,112.02566475494874,2.0891037570895232,3.4440742409486984,2.177101679209305,3.425977960765353,3.1194339641082847,3.190828889255528,14.678328179816642,54.893325031845905,7.8318536196364,22.115263213134668,23.831401059961323,23.31831293222977,0.05500522661401677,1.7748541528110569,6.260644764429088,26.3352841097158,136.69578099250793,66.0,858.0,12943.36505906386,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,174,111.47388648587068,2.2046688576556512,3.4875539869041496,2.034495902426609,2.8283585390538053,2.099906917892174,3.2044606896621857,53.146651939286286,51.33588081509376,7.168286587032811,35.52942641756976,46.61906703507593,24.495418594213444,111.47386309064298,2.2046688576556512,3.4875550401869133,2.034493244052193,2.8283585390538053,2.099906917892174,3.2044603535464167,53.146651939286286,51.33592642420795,7.1682709592115375,35.52942641756976,46.61906703507593,24.495378164845903,0.1398209320316067,2.1695159621743265,9.631607343031868,19.160229276322656,434.50479674339294,202.0,2626.0,274.23749888977704,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,294,108.04941060500917,3.4701319265773387,3.4732632927567475,2.087148226870175,3.8639441383936743,2.027903145951194,3.2024209651747637,50.09059320510776,54.54603463383975,7.868363701382818,34.48286158683048,47.04622224181961,22.463313941813837,108.04919212126418,3.4701319265773387,3.4732744326406326,2.087152666513179,3.8639441383936743,2.027903145951194,3.2024300571205138,50.09059320510776,54.54637146273911,7.868408074232226,34.48286158683048,47.04622224181961,22.463370374666756,0.036892860649292064,1.3824822897025935,8.882571374265314,22.19952643452126,780.245630979538,378.0,4914.0,364.0814992450484,2.0,ABNORMAL_TERMINATION_IN_LNSRCH
5,45,119.66676235388881,2.5755506771726973,3.4165610991862043,2.176527233001403,3.3576710658797815,2.4232562320001176,3.194421208248341,41.952255353222,52.13711840882304,5.178978532863482,20.135500121703355,35.62569379161495,28.353672967982515,119.66676158278835,2.5755506771726973,3.4165612084002395,2.1765277656464246,3.3576710658797815,2.4232562320001176,3.1944214887507334,41.952255353222,52.13714510449496,5.178976450917718,20.135500121703355,35.62569379161495,28.35365972559055,0.6084582496039768,2.2807642272119266,10.576267284823048,22.66378006160034,69.55954098701477,57.0,741.0,2547.7235278443914,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
