,molecule,mse_liq_density,mapd_liq_density,mae_liq_density,mse_vap_density,mapd_vap_density,mae_vap_density,mse_Pvap,mapd_Pvap,mae_Pvap,mse_Hvap,mapd_Hvap,mae_Hvap,mse_Tc,mapd_Tc,mae_Tc,mse_rhoc,mapd_rhoc,mae_rhoc
0,R116,15363.063733841593,8.802962285565965,118.62255310666666,1651.721745344383,44.53345820241493,29.709938467850666,13.129121022374035,39.94566813789616,2.8005831982400675,442.78640876362914,23.242095698953317,20.5890891290351,890.4013429599944,10.183118979452308,29.839593545489095,3.588276398134782,0.3088558397585235,1.8942746364069762
1,R125,750.1840644040368,2.090432918250693,27.0159177120001,36.943511525628274,7.443940690717861,4.344404343571332,0.1369671022029807,4.55632853417103,0.2995449030491803,47.941448421176005,5.4955287431948685,6.816982707267099,26.751228147005367,1.5239124762769458,5.172158944483954,4.430417924957141,0.3680461263705535,2.1048557967131956
2,R134,,,,,,,,,,,,,,,,,,
3,R134a,1062.9928214435745,2.535537517579204,32.238331846,3.6917187919049357,4.484406179118803,1.3223940534046663,0.20430139515655377,5.005817327562403,0.31069937828773353,20.259567099911386,2.318231860147722,4.4387960567115785,5.145068320727709,0.6061501041020076,2.268274304560123,71.45483266952637,1.6513178434219393,8.453096040476908
4,R14,1202.6819151276952,2.467643532677369,33.87471440799997,115.80951204819884,8.959982202000123,6.665386693031333,0.657802950459051,7.040395742412795,0.5546637547789334,22.01915152583731,4.390682637028831,4.364179788464841,22.907168035122996,2.103706798052498,4.786143336249239,121.26464799375051,1.760060503603357,11.012022883818872
5,R143,131.27288412552303,0.8640052423755383,8.379956141999939,18.338634873188802,11.785135610368485,4.147677200917333,0.6169908675532749,8.466250642104836,0.7446988828623674,,,,12.875244355685153,0.8348555313110487,3.5882090735748875,163.67179140316875,2.7278097365369547,12.793427664358319
6,R143a,1374.7010040768241,3.8028434251565906,36.28002607413336,76.49264940537111,15.932270814237384,6.914462167410667,0.8787023939483799,11.565799764830114,0.8511327301591342,393.7932424311453,11.831052507922154,19.806678395596432,69.0657604696012,2.402735409785192,8.31058123536502,72.38968472448508,1.9740632902240416,8.50821278086562
7,R152,,,,,,,,,,,,,,,,,,
8,R152a,25.62446513488594,0.48183175144481794,4.211453457266695,2.3630419117353383,3.842372414673803,0.98489334935,0.20601257426770714,3.7324199763924275,0.29735967924653317,155.48963071747724,4.187111466926408,11.78179783296584,7.598677519021178,0.7133795406038592,2.756569882847373,0.05275083196517911,0.062411818679239756,0.2296754927396023
9,R161,633.9581271717935,2.999943197227544,22.166126489133354,86.95234415188045,75.54695785173402,7.079279930485334,11.54049780659147,70.08070335737754,2.6224592454476663,746.6838157140652,6.930294932565845,25.88577005275822,555.2486286297735,6.279470815914569,23.56371423671942,0.026880421501060375,0.05428890652216078,0.16395249769692555
10,R170,488.8158524715148,5.032545863137775,20.730344124533353,84.19682290538258,14.760592191010948,6.190410037217334,9.591354174623104,12.810978025189737,2.3698487369517536,322.1225165631713,4.957637368054527,15.340104558828346,70.08321405277407,2.7418829233101416,8.37157177910899,17.836249796810588,2.0483550537812247,4.22329844988613
11,R23,471.0505560900976,1.4602224573632179,17.090357669533304,217.86950092935123,21.568583114810426,10.227663455620666,6.2769980404115735,19.008111817720184,1.8411242946936675,48.30170777501545,3.162273602910852,5.176243674329955,65.05342659636466,2.6949014148727652,8.0655704445727,70.92844190860428,1.5996016165672484,8.421902511226563
12,R32,9423.133647653582,8.834327665292099,90.19055161208335,1516.7255567201685,112.31221589156905,30.720760304791668,71.61875160919436,81.78525020255339,7.216793511228083,4308.334381703154,21.059157665779836,63.544538305896715,1050.9344669035204,9.22673101542218,32.418119422685834,6.933028964191403,0.6126882597435369,2.6330645575434346
13,R41,1028.9592365382828,3.618822191180097,26.95415531774997,797.9471096549111,109.19432871727935,21.936379230916668,80.59006980674171,83.63704288864288,7.429749030078,4530.77136743601,16.479837076942005,63.57778201516044,830.0873935203284,9.080697578964928,28.81123727853992,431.1415467166595,6.5602819010124644,20.76394824489455
14,R50,5.945475681532069,0.6114829516936219,2.2155765650666694,1.3248077852233322,7.723701647550498,1.0789314053099999,0.19331931667901353,5.587173445555589,0.4178854343466663,1506.2902774913116,9.468296608977033,38.379648302891255,1.3534497568275816,0.6104923257565618,1.1633785956547342,0.9449016472572378,0.5976026781338883,0.9720605162525828
