sigma_Cm,sigma_C1,sigma_C2_0,sigma_C2_1,sigma_C2_2,sigma_C2_3,sigma_H1,sigma_F_1,sigma_F_2,sigma_F_3,sigma_F_4,epsilon_Cm,epsilon_C1,epsilon_C2_0,epsilon_C2_1,epsilon_C2_2,epsilon_C2_3,epsilon_H1,epsilon_F_1,epsilon_F_2,epsilon_F_3,epsilon_F_4,ExpValPrior,rcc,num params opt
3.8283780892981745,3.3784808711588,3.8458065530863594,3.427188940359844,3.4137381709369556,3.7449949480360885,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,57.10309400768973,43.08367615790718,45.63505420145406,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,10032.303185367293,,0
3.8283780892981745,3.3784808711588,3.8458065530863594,3.427188940359844,3.4137381709369556,3.7449949480360885,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,57.10309400768973,43.08367615790718,45.63658435739323,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,9291.383808811626,-25.96760860014304,1
3.829151416897312,3.3784808711588,3.8458065530863594,3.427188940359844,3.4137381709369556,3.7449949480360885,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,57.10309400768973,43.08367615790718,45.635363954846454,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,9291.37819501619,-27.133997051964762,2
3.829297843029477,3.3784808711588,3.8458065530863594,3.427188940359844,3.4137381709369556,3.744973809252696,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,57.10309400768973,43.08367615790718,45.63295893004059,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,9291.386345781331,-28.412141026707882,3
3.836637369377494,3.3784808711588,3.8458065530863594,3.427188940359844,3.4137381709369556,3.744925935480117,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,48.10894475119233,43.08367615790718,45.644095972009424,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26693.535733263358,-17.3887128012704,4
3.8285786779083617,3.3785097857200883,3.8458065530863594,3.427188940359844,3.4137381709369556,3.7448799122641567,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310690927296204,57.10293255414475,43.08367615790718,45.63785499916179,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,9291.375244234037,-31.37432963218637,5
3.833424040487608,3.378188803500222,3.8458065530863594,3.427188940359844,3.4137381709369556,3.745199258651131,2.05232578798746,3.1104666564530428,2.847252384707576,2.9882631091129364,2.9310256049553756,48.10894475119233,43.08367615790718,45.63166757182893,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26695.026824428307,-19.29103716715366,6
3.8358864049679116,3.3785202421363856,3.8458065530863594,3.427188940359844,3.4137381709369556,3.744910326977463,2.05232578798746,3.1104666564530428,2.847252384707576,2.987848951994492,2.93107746318898,48.10894475119233,43.08367615790718,45.63598929588837,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26693.619088445368,-20.413121484534916,7
3.8396513124910387,3.3778573060069386,3.8458065530863594,3.427188940359844,3.4137381709369556,3.746660535452099,2.05232578798746,3.1104666564530428,2.8445383058885017,2.99681881276248,2.9312552360305983,48.10894475119233,43.08367615790718,45.64570456584442,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26702.69624445292,-21.666997688025894,8
3.8444412294919323,3.378475812139832,3.8467815189824544,3.427188940359844,3.4137381709369556,3.7450760278732704,2.05232578798746,3.1104666564530428,2.848632250785382,2.988679509683535,2.931063198419751,48.10894475119233,43.08367615790718,45.634902738182255,57.2871721246258,34.36776790756747,37.56768106069546,10.07885918608217,31.624579658674687,42.43956527485266,20.68674673869723,28.602028418155804,26700.170462370425,-23.100060183496662,9
