Run,Iter,Min Obj,sigma_Cm_min,sigma_C1_min,sigma_C2_0_min,sigma_C2_1_min,sigma_C2_2_min,sigma_C2_3_min,sigma_H1_min,sigma_F_12_min,sigma_F_3_min,sigma_F_4_min,epsilon_Cm_min,epsilon_C1_min,epsilon_C2_0_min,epsilon_C2_1_min,epsilon_C2_2_min,epsilon_C2_3_min,epsilon_H1_min,epsilon_F_12_min,epsilon_F_3_min,epsilon_F_4_min,Min Obj Cum.,sigma_Cm_cum,sigma_C1_cum,sigma_C2_0_cum,sigma_C2_1_cum,sigma_C2_2_cum,sigma_C2_3_cum,sigma_H1_cum,sigma_F_12_cum,sigma_F_3_cum,sigma_F_4_cum,epsilon_Cm_cum,epsilon_C1_cum,epsilon_C2_0_cum,epsilon_C2_1_cum,epsilon_C2_2_cum,epsilon_C2_3_cum,epsilon_H1_cum,epsilon_F_12_cum,epsilon_F_3_cum,epsilon_F_4_cum,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
12,109,91.08984440341382,2.3523925111501103,2.664127148733674,2.2619936896218333,3.6189813842531637,3.6472926634753815,3.7100316437338803,2.0884049346454288,2.9485913352283033,2.878453100698229,3.8107846374172984,39.89221727809246,45.51254304132427,61.90923342488258,28.571725362719597,28.629627602137486,30.0301323416777,3.8440176720178845,31.04602805175192,33.191143590758934,43.25761851096945,91.08983350930396,2.3523925111501103,2.664127148733674,2.2619936896218333,3.6189813842531637,3.647291193394882,3.710028679948844,2.0884001842537683,2.9485900155410576,2.8784542680265797,3.8107846374172984,39.89221727809246,45.51254304132427,61.90923342488258,28.571725362719597,28.629441473385704,30.03021232617916,3.8440493093040167,31.046236421264798,33.19111072391307,43.25761851096945,1.0462390310495766,6.9029477231375695,6.80885098094804,11.949747735197327,230.22788548469543,117.0,2457.0,145.58266275868195,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,52,73.69216771743318,3.6237173954410795,3.7499232899117962,3.376826504771886,3.138988825490751,3.2325421268173327,3.3656665129544834,2.0288117601436446,3.2537579661890215,2.763189236556954,2.6245396754038337,69.55986097544282,69.12630912185124,26.712689095842755,17.2079345483619,39.250696969501,50.68022933513588,9.17945788276552,29.078559501361074,35.055288590389566,44.808515622772845,73.69216622859038,3.6237173954410795,3.7499232899117962,3.376826504771886,3.138988825490751,3.232541610079708,3.3656685780036453,2.0288112173419908,3.253757375713398,2.7631882799893273,2.6245396754038337,69.55986097544282,69.12630912185124,26.712689095842755,17.2079345483619,39.25063683310162,50.68019688398912,9.179370951094262,29.078514225315015,35.05535463086134,44.808515622772845,0.17275648638839597,6.656574344745017,5.293908083339373,17.71099867479082,210.28413200378418,59.0,1239.0,209.66153299582555,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,86,54.15425908504574,2.653289803544192,3.054116204515218,3.771884198621549,2.7145395200049993,3.716177564633262,3.7566294175060637,1.990296255259974,3.2223788288451605,2.662794359787919,3.994645700902961,21.20213304244636,18.91382372587706,70.61870509741566,55.29318049684352,21.211712493184056,45.568929230022306,7.749479299628777,33.603219229783875,22.949684946691185,19.349483669025766,54.154241401231516,2.653289803544192,3.054116204515218,3.771884198621549,2.7145395200049993,3.7161763449241163,3.756635522194802,1.9902994212981304,3.2223609979191754,2.6628003508555853,3.994645700902961,21.20213304244636,18.91382372587706,70.61870509741566,55.29318049684352,21.211741650979427,45.56932625423744,7.749416072197788,33.602888482538134,22.94969193102916,19.349483669025766,0.09338279811767511,4.496058482595162,7.084962084392924,3.2948594591321454,365.4493758678436,93.0,1953.0,93.077609023892,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
11,120,66.8077568212279,3.9003522384941594,3.1133063763903124,3.831212699532549,3.2831324178926744,3.565230280842675,3.2712370812152844,1.826122039516191,3.1645996445922564,2.8676941506927616,3.837466871267212,35.666914840031076,72.61206434864629,21.307118334230186,18.21141876357643,38.97838571477441,52.41534725124661,7.411560260960129,31.478965379962652,27.345971506914577,15.525664325974283,66.8077568212279,3.9003522384941594,3.1133063763903124,3.831212699532549,3.2831324178926744,3.565230280842675,3.2712370812152844,1.826122039516191,3.1645996445922564,2.8676941506927616,3.837466871267212,35.666914840031076,72.61206434864629,21.307118334230186,18.21141876357643,38.97838571477441,52.41534725124661,7.411560260960129,31.478965379962652,27.345971506914577,15.525664325974283,2.520301943293848,8.594197009161622,11.219387277663468,4.254751734281213,298.7738103866577,150.0,3150.0,100.75679900524025,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,131,79.45468026677656,2.0397602676795907,2.0524219737554383,2.056612976041589,2.4924221352060916,3.7653554604626267,3.8126372178797343,2.045347470556635,3.246365712593829,2.6459847772397396,2.558367358022279,48.074352644788725,73.02372364077887,46.46696425162116,11.212073809241298,44.70303560772588,26.30629680851822,2.4864679130664196,23.584564052343282,29.495084420754605,41.149257495801464,79.45467982576497,2.0397602676795907,2.0524219737554383,2.056612976041589,2.4924221352060916,3.765355134020609,3.812638079821254,2.0453478539974292,3.246365635263777,2.645984594157684,2.558367358022279,48.074352644788725,73.02372364077887,46.46696425162116,11.212073809241298,44.703039164489006,26.306287898254734,2.4864840032010567,23.584549705011817,29.495082803646213,41.149257495801464,0.6408734795662279,8.806732222259399,4.285138568796174,2.212975963946077,287.4475202560425,141.0,2961.0,79.65368149924505,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
15,181,61.02988332309921,3.759996577126863,3.807683911652744,3.325439624750524,2.5404165240595153,3.2328970163455235,3.4952024442909164,1.82520506887504,3.14260414391553,2.8696157132396385,3.466285050575022,43.73575578516363,60.10745418262273,46.975769395806516,40.27114210847876,33.249426892109966,46.939235390545434,2.4857957693772845,29.237877979032024,36.18591202855716,21.356449796576733,61.02988318703933,3.759996577126863,3.807683911652744,3.325439624750524,2.5404165240595153,3.2328967673564373,3.495202489441022,1.8252052522232574,3.1426041060625125,2.869615671903936,3.466285050575022,43.73575578516363,60.10745418262273,46.975769395806516,40.27114210847876,33.249427168691724,46.939237634221605,2.48579859409799,29.237877844533287,36.18591292590337,21.356449796576733,0.17928712725758425,8.620764329565551,2.1127890728666636,17.747671054017456,710.56498503685,205.0,4305.0,50.735020872191136,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
1,85,66.8440107235015,2.834044009405148,3.440648986884316,2.0002287496346898,2.604665145263679,3.565668304871684,3.272592425983338,1.8250802179881829,3.1639714210195686,2.868957823884502,3.0776334680067134,37.24764343621417,54.53926752578938,23.289396232548636,67.07763336541147,38.97977943343845,52.48091453405844,7.465491083343528,31.394785603334313,27.328005563997436,21.93355211797076,66.84400316347764,2.834044009405148,3.440648986884316,2.0002287496346898,2.604665145263679,3.5656672406268735,3.2725958101512242,1.8250802313383985,3.1639734371380044,2.868956879043225,3.0776334680067134,37.24764343621417,54.53926752578938,23.289396232548636,67.07763336541147,38.97952069252526,52.48077166447731,7.465482347726935,31.39464902967724,27.328211954549435,21.93355211797076,2.592119730039308,8.645768665055652,11.587739239946547,4.17909883215942,199.92909598350525,96.0,2016.0,442.19827693400833,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
14,187,58.38275791060716,3.50004352740532,3.7166276728580843,3.51016437693536,3.3961144968946053,3.5602153708687445,3.66703574991752,1.7587115552932886,2.827199977273957,3.065988514942946,2.821622699844371,36.09617292552015,30.629956487288005,50.424758914819606,37.96607260338219,42.925645767408774,43.1244130363247,5.644587604707657,30.921457736083877,20.66610375182014,42.91735813854984,58.38275191527069,3.50004352740532,3.7166276728580843,3.51016437693536,3.3961144968946053,3.5602153234014406,3.667034016000421,1.7587076603784126,2.8272016560317974,3.0659897292254366,2.821622699844371,36.09617292552015,30.629956487288005,50.424758914819606,37.96607260338219,42.92569724735707,43.124489731811636,5.644618685852731,30.92141010964982,20.66613636522988,42.91735813854984,0.28143658630894997,0.7504603202118915,7.837468340476651,6.181926091240035,726.972314119339,196.0,4116.0,61.46350475175415,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
18,165,68.10186769817925,3.7332165483330257,3.8996119827072526,3.6528139952586827,3.7082308876730776,3.1034758987726945,3.351822408295427,2.1970551590416263,3.010438412204013,2.930323193660989,2.0691424397432683,60.0655177460737,57.56235904806927,26.880395564392956,26.70950442343954,44.00408480257687,40.97705632070636,5.666732222935022,36.862211903083725,35.437870996849675,49.66651242683443,68.10186674611847,3.7332165483330257,3.8996119827072526,3.6528139952586827,3.7082308876730776,3.103480181048347,3.351821805736685,2.1970540349016416,3.0104377206143287,2.9303212188606684,2.0691424397432683,60.0655177460737,57.56235904806927,26.880395564392956,26.70950442343954,44.00407905015183,40.97693254802104,5.666710007852337,36.86219309551204,35.43785365315801,49.66651242683443,0.2650157469096651,15.192060904961764,5.047573407818965,14.630392496057926,812.6207747459412,209.0,4389.0,41.03938182787104,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,116,58.34268651674131,3.6014891373510727,3.936523151438794,2.6268483563184852,3.3846452313386277,3.4999929323395946,3.905023442468271,2.028587778920182,2.6387138754435613,3.1349511507979724,3.756285006858826,16.392544199148258,37.3719956253284,72.26281945978263,44.65574352324612,46.31953364318825,31.66815550339795,3.439695169265965,33.61320011518948,20.839043612446353,41.25505102307387,58.34268607503813,3.6014891373510727,3.936523151438794,2.6268483563184852,3.3846452313386277,3.4999905802397775,3.9050260913797414,2.0285912354182516,2.6387158523579783,3.1349507738277396,3.756285006858826,16.392544199148258,37.3719956253284,72.26281945978263,44.65574352324612,46.31954713038104,31.668120802282793,3.4396651620346588,33.613131373181375,20.8390928664939,41.25505102307387,0.184333242175787,5.73240433873804,12.49262604984213,9.061707577269441,614.3304672241211,124.0,2604.0,178.73622879474198,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
3,109,86.7579069083307,3.977722177812989,3.496331308759678,2.56088798412881,3.578558656902977,3.1597785082936336,3.3651050423708972,1.7958496611375707,3.189820872101749,2.8617443923473562,2.2600571442365553,11.258852261569311,54.12430964109292,23.755827540003843,27.260532859194708,57.53821369387129,28.493354226512427,4.093889537638036,31.814686266580843,39.27167694343464,39.4915426007326,86.75790447785162,3.977722177812989,3.496331308759678,2.56088798412881,3.578558656902977,3.159778476138611,3.3651044865059045,1.795849794587322,3.1898184571987502,2.8617438331858533,2.2600571442365553,11.258852261569311,54.12430964109292,23.755827540003843,27.260532859194708,57.53816217567634,28.493321407052363,4.093864071422295,31.81477545422644,39.27165701668862,39.4915426007326,3.7290930621294054,11.367134805389174,3.739349332095725,15.693579274250004,249.52442383766174,116.0,2436.0,28.347528390310558,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,89,56.65535823895345,3.7666121824116194,3.2473444141112173,3.5018848680546744,2.697796683955685,3.3619821309676916,3.3950129642941214,1.8216363159389772,3.4229252921436477,2.546935826516992,3.2433914404182436,17.45848824196939,71.71680181595964,39.24428867619614,47.595324935163575,43.99687255540008,46.68862959967684,9.094548123991506,37.67476818791896,20.569892112419545,36.60007197672534,56.65535537374474,3.7666121824116194,3.2473444141112173,3.5018848680546744,2.697796683955685,3.361984099382463,3.3950115552657234,1.821636251995395,3.4229267191725317,2.5469362956735617,3.2433914404182436,17.45848824196939,71.71680181595964,39.24428867619614,47.595324935163575,43.99675481371239,46.68869555398542,9.094491139739876,37.674761391331764,20.569918479891907,36.60007197672534,0.16871716896069325,3.6366589098939075,12.301461847261628,5.044737546939088,215.74739289283752,96.0,2016.0,98.02277289279688,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
