Run,Iter,Min Obj,sigma_C_min,sigma_H_min,sigma_F_min,epsilon_C_min,epsilon_H_min,epsilon_F_min,Min Obj Cum.,sigma_C_cum,sigma_H_cum,sigma_F_cum,epsilon_C_cum,epsilon_H_cum,epsilon_F_cum,R14-sim_liq_density-sse,R14-sim_vap_density-sse,R14-sim_Pvap-sse,R14-sim_Hvap-sse,R32-sim_liq_density-sse,R32-sim_vap_density-sse,R32-sim_Pvap-sse,R32-sim_Hvap-sse,R50-sim_liq_density-sse,R50-sim_vap_density-sse,R50-sim_Pvap-sse,R50-sim_Hvap-sse,R170-sim_liq_density-sse,R170-sim_vap_density-sse,R170-sim_Pvap-sse,R170-sim_Hvap-sse,R125-sim_liq_density-sse,R125-sim_vap_density-sse,R125-sim_Pvap-sse,R125-sim_Hvap-sse,R134a-sim_liq_density-sse,R134a-sim_vap_density-sse,R134a-sim_Pvap-sse,R134a-sim_Hvap-sse,R143a-sim_liq_density-sse,R143a-sim_vap_density-sse,R143a-sim_Pvap-sse,R143a-sim_Hvap-sse,R41-sim_liq_density-sse,R41-sim_vap_density-sse,R41-sim_Pvap-sse,R41-sim_Hvap-sse,Run Time,jac evals,func evals,Optimality,Term Status,Message
14,55,114812.57883907692,3.3638335249013718,2.336198819867178,2.9372057017987627,52.45925035018677,11.081227825775091,26.563098965666143,114812.57849004627,3.363829275317208,2.336208848474479,2.937207096511645,52.459306308762045,11.081290672248468,26.563186950323782,4.536040318229743,2809.6246981448026,267.37955517146725,26.34049598055311,201.1785272061393,20027.03331375011,12772.09282916118,1171.4235344053322,729.1093729532516,71.85533562889924,52.08040795994448,373.3627397713362,227.2153029092649,1024.3612662667215,618.3968329661317,211.01017346165295,5.564375177984117,38.4799084613327,73.23801938432365,15.66227167302539,5.398429611597243,278.06331496094134,236.32488473619895,2.046369203612021,148.1739848874777,1302.5725253449075,857.0142920420442,307.0573396545616,168.67221325804775,18755.43237200972,10709.019862799654,1505.40259923367,610.7018518447876,64.0,448.0,12241.506634692249,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
10,49,114812.71979844452,3.362976649928738,2.336047759041712,2.937313278692413,52.50191450565265,11.08035398700631,26.568617366046983,114812.71860982092,3.3629718925474594,2.336034028909916,2.9373187397884157,52.50176221897045,11.08063713195919,26.568746810908845,4.532179727363981,2819.974026723626,268.2222412544502,26.45306571605534,200.5223293798429,19999.134441064336,12755.455760555902,1169.324182783116,732.332137189853,71.97676538242831,51.60996655439631,375.1705214166822,228.17605682273816,1027.1035551416426,619.5637058445803,211.2563337507895,5.523807293031242,38.60501913176336,73.25705982140542,15.540930185082164,5.390392360767227,278.9634309311561,237.22590714838924,2.028018416407805,148.3160320068767,1304.4197805922645,858.1557816616416,307.16898194261023,167.9993119674629,18729.32376009948,10694.66964320407,1503.7822826883726,555.1368181705475,57.0,399.0,19611.17797317701,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
7,42,114812.76468194326,3.363153167940043,2.33620718958934,2.937214400677144,52.49547038289306,11.08260406641604,26.56460626684463,114812.76245504372,3.3631583259479614,2.33621386292205,2.9372144570833325,52.49545692897868,11.082521281056122,26.56451142221508,4.536606732037236,2805.7831313608963,267.2518975017518,26.270704008784836,200.60402283358027,20002.0171250779,12757.535049430726,1169.4956210730018,731.9632387839072,72.06884444260018,50.78177730923876,376.2065707331043,228.19613283207696,1030.7021433077914,621.1060002591007,212.4808287138744,5.542539291217549,38.76497458796461,73.44517381487712,15.519725251859567,5.400878019333898,279.01721937543834,237.26635721789015,2.0283330313794767,148.3404990469694,1304.195871402718,858.079901120671,307.2162738233268,167.9981439854715,18726.462640941896,10692.167587562131,1503.0977512270365,496.9995276927948,49.0,343.0,29577.929407585045,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
23,58,114812.90729934767,3.364220314523072,2.336453926830929,2.9371844295118503,52.4378819247297,11.082978706392607,26.56081106624676,114812.90669150476,3.364222068783876,2.336452313228648,2.937184159428269,52.43783262689372,11.082919013785215,26.56085048917991,4.525056746554766,2798.478306241988,266.83951028925804,26.265679400945743,201.66031820823247,20047.92623445638,12784.668078498718,1172.820032074925,727.3320858011076,71.8425704207415,51.84368587307152,373.123484114082,226.5650223636873,1023.849368825546,618.2553133015645,211.01891156389348,5.560041590916561,38.64537002855696,73.13046479754146,15.666912964768862,5.382322615127458,277.8149878668333,236.08342989493912,2.0487146195435577,147.9653678318331,1300.2533837300505,855.517486391276,306.82620061780005,169.06584415898743,18769.2432056127,10716.226855733166,1506.100699210507,624.4260537624359,66.0,462.0,16735.865281108447,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
9,38,114812.9096105501,3.3633626125498943,2.3368881478766736,2.9372391006194576,52.4796365265883,11.083962676351176,26.563774092224527,114812.90640478014,3.363366309806288,2.3368824959872114,2.9372394849442838,52.47949555908654,11.08402873344933,26.563747217164064,4.511086902861786,2788.766519002679,266.61659684055945,26.18096591317792,201.38617532325853,20039.992893252245,12780.77782780616,1171.901015443222,729.4059220448148,72.10046901190053,50.1727024896134,376.3602092307802,226.82627154686568,1027.5176711009992,619.8440855799299,211.46108876043425,5.493074914488713,39.32078221036378,73.22448142196863,15.405687163101147,5.344895714046932,279.5020310654822,237.76534091387265,2.0089354956077874,147.80001983281215,1298.1538704316931,854.0478121795633,306.38856876459823,168.64715956315897,18742.266457220416,10701.430909286477,1504.379750489923,509.15275287628174,51.0,357.0,17469.13622879474,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
17,39,114813.1321193617,3.364464161612867,2.335455998971496,2.937143247720017,52.440275147412905,11.079223284567286,26.558445327539754,114813.09606953774,3.364493902388337,2.335478304257401,2.9371500150179792,52.4375252380565,11.07988227547969,26.558157347186476,4.563353388113711,2827.080636303417,268.05517694570057,26.453397711333096,200.90814853222963,20004.470347415398,12757.493087075249,1170.4690398822613,729.18906904822,71.73521183880067,53.31293178895592,371.3758840130961,228.13833519183305,1026.1333476775428,618.8644467603656,212.42974449027636,5.666047141477208,37.33984609878832,73.3464385680889,16.00641482873722,5.473881543669445,275.9622435499268,234.22518516120957,2.103214609518841,148.7494787257116,1311.108008892796,862.7725192895396,308.3938418900246,168.55410969528347,18754.36839240236,10708.538017396926,1505.234728402682,466.94109582901,46.0,322.0,37648.12988720135,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
5,36,114813.1598406889,3.362826101690572,2.33652253479634,2.937285058223112,52.5126562276631,11.076959414464516,26.569722751847745,114813.1595121318,3.362825619374848,2.3365212823352617,2.937285098850758,52.512655174022434,11.076958348387183,26.5697276941081,4.556791971415108,2836.269861853982,268.7823891729513,26.53959163612089,200.7116329921756,20007.54936642881,12761.023646057114,1170.058877722734,731.125028054757,71.95387654938679,51.45975405953017,374.9753181333967,227.29309131636904,1022.1412563189582,617.2083256005891,209.8239403062848,5.526204987509535,38.43755364135586,73.28308495340288,15.547974584334384,5.375285028173291,279.2509146293157,237.52132764783383,2.017856127396008,148.11433240134494,1303.5616435815784,857.4948901798184,306.9337093057632,168.31273172921067,18721.793393086744,10693.194007690552,1504.3778744038957,490.8570942878723,49.0,343.0,20128.93507416289,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
6,42,114813.16704241018,3.3641283340374377,2.336327492383306,2.9371662654712933,52.45251950717547,11.079425894550049,26.55313717717166,114813.16618518,3.3641290499287835,2.3363249989106296,2.937166414208661,52.4525014063382,11.079431980480946,26.553129922999787,4.484742441442103,2754.2839628923907,265.20009486298864,25.901206847718207,201.5869012133253,20054.974364550584,12789.365741460411,1173.3521732898812,727.8967051437967,71.81687595128021,52.05087532291905,372.8601878503642,226.9085670713236,1023.3051003998224,617.6812049573275,211.18200858205304,5.541226188655996,39.039578082235714,73.38584119430189,15.499554244201114,5.389608813500227,278.89542374452645,237.13478469094997,2.0255831245196787,147.98830620485205,1298.7849286018436,854.4976072886654,306.42241863304963,169.0585632795083,18762.60014630551,10714.684670935623,1506.5869956864,505.0859260559082,51.0,357.0,23476.893933741896,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
16,33,114813.40218750584,3.363149877295176,2.336457157529976,2.937284447441359,52.45971830480403,11.087411506901525,26.57792071650275,114813.39501684444,3.363157759772643,2.3364606430907218,2.937291353373141,52.45957010312959,11.087327728400302,26.577771038856174,4.53798633308345,2825.769141518574,267.7305176934796,26.508393984719103,201.09733853832256,20034.44772035581,12776.989543048763,1171.0249171338014,729.8845893359563,71.92160032271363,52.10314004376775,374.1855013826194,226.51414625354985,1021.5733079873822,618.1907634506215,208.5138095374647,5.470750173451784,39.677214787316174,73.07345691926903,15.387170465819302,5.332854815717514,279.8944902505977,238.14159375659312,2.001260723764113,147.72140480908274,1292.6050855546948,850.3633286827084,305.6428003300339,168.4807051640434,18782.373552193545,10719.83008621434,1505.8233045802883,393.56591606140137,40.0,280.0,34761.61222133404,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
2,37,114813.74689069082,3.364657709559169,2.3355613539319595,2.937061568057419,52.41562805436471,11.08235580349264,26.554599793009245,114813.68362344857,3.36466785993255,2.3355675688675186,2.9370685379552395,52.41594354333965,11.082423358383464,26.554685736540243,4.514785297201902,2768.186084806882,265.13202041397983,25.961296654320066,201.3000684265301,20041.898113545078,12780.768608764323,1172.4803355074614,727.8772592588329,71.69854100876927,53.78984449084842,370.5096048847362,227.39451527778155,1023.3055292017282,618.1012613225529,211.1790433858085,5.609389994999383,38.742734426758005,73.52725982701618,15.677153233290568,5.4450448786382575,277.8665968749326,236.07912340196535,2.056689592360775,148.35447796916435,1299.7969109432008,855.3058200356991,306.74210853747167,168.89392298205638,18792.34360960856,10727.687996126342,1507.201526538877,567.9178161621094,59.0,413.0,16905.24956035172,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
24,41,114813.83440113303,3.3640736104476283,2.335059545940547,2.937235121270676,52.423632941725934,11.08911404630977,26.571265245170668,114813.83256685552,3.364069778671874,2.3350559986226647,2.9372357167981877,52.42384589814169,11.089115325347024,26.57128909512903,4.542698654185839,2827.000077343874,267.8009592846019,26.53151884138395,200.58237670851565,19999.81874603393,12754.414683735577,1169.1448469374154,731.2428310959076,71.82792898202764,53.76075132120601,372.01543268783047,228.5375568374816,1029.035908929737,621.3353027532654,211.70117489923408,5.585918973538849,38.54973522354765,73.13669033050739,15.77147203650641,5.437288360993404,277.13312194299954,235.37465922379613,2.076848525181891,148.60777544410567,1303.067810043817,857.5214876057988,307.40737950753726,168.00436245515488,18791.65279019796,10721.88458546048,1505.0348645860668,471.576055765152,48.0,336.0,14419.493607821189,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
25,46,114813.9011804695,3.364791458825436,2.3360583330336,2.937144337523392,52.40160148475116,11.083093590499695,26.562442943393027,114813.90100699864,3.364791464773382,2.3360584130398614,2.9371444629961023,52.40160774864852,11.083089564582329,26.56244165609943,4.545304317258374,2815.790428933354,267.24583483487527,26.407598654732038,201.80121058530463,20053.567273454395,12787.376228325278,1173.3474228650705,725.7922417441407,71.66554295202684,53.65920714905653,370.1276457090584,226.19423656855912,1019.09983985901,616.4491969869064,209.7525010604014,5.604349454400575,38.27403988726441,73.05730304949809,15.848649738372206,5.406089337618387,276.770151343842,235.03393438295888,2.0744353225262806,148.04476810326005,1299.9012938417984,855.3372938153159,306.8824630082631,169.3584850192192,18800.632019072335,10732.569979076086,1507.843145656289,507.05761098861694,51.0,357.0,9309.732516209257,0.0,CONVERGENCE: REL_REDUCTION_OF_F_<=_FACTR*EPSMCH
